id_tableau,titre_tableau,source,Produits,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
10.02,Entrées de marchandises au Port de Bujumbura (en tonnes),BRB,Produits alimentaires,33 643,24 011,37 383,28 087,57 242,71 438,14 169,19 038,18 383,16 134,23 155
10.02,Entrées de marchandises au Port de Bujumbura (en tonnes),BRB,Boissons,-,-,-,-,-,29,130,368,51,20,69
10.02,Entrées de marchandises au Port de Bujumbura (en tonnes),BRB,Malt et houblon,998,1 188,615,- - -,"","",11,-,235,272,-
10.02,Entrées de marchandises au Port de Bujumbura (en tonnes),BRB,Riz,-,-,-,- - -,"","",-,-,864,81,-
10.02,Entrées de marchandises au Port de Bujumbura (en tonnes),BRB,Farine de froment,2 232,2 980,6 233,6 666,3 824,875,132,8,136,84,151
10.02,Entrées de marchandises au Port de Bujumbura (en tonnes),BRB,Sucre,12 869,10 808,18 586,15 346,26 524,15 172,4 177,12 180,11 702,12 517,21 335
10.02,Entrées de marchandises au Port de Bujumbura (en tonnes),BRB,Sel,6 139,1 336,1 763,6 075,12 921,9 893,5 586,4 739,4 673,2 853,1 141
10.02,Entrées de marchandises au Port de Bujumbura (en tonnes),BRB,Autres,11 405,7 700,10 186,-,13 973,45 469,4 133,1 743,721,307,460
10.02,Entrées de marchandises au Port de Bujumbura (en tonnes),BRB,Produits des industries chimiques,2 611,2 415,2 237,3 700,2 528,3 568,2 998,3 257,-,-,-
10.02,Entrées de marchandises au Port de Bujumbura (en tonnes),BRB,Insecticides et engrais,2 611,2 415,2 237,3 700,2 528,3 568,2 998,3 257,-,-,-
