id_tableau,titre_tableau,source,Désignations,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10.04,Trafic à l'aéroport international de Bujumbura, Ministère du Transport.,Arrivées,"","","","","","","","","","",""
10.04,Trafic à l'aéroport international de Bujumbura, Ministère du Transport.,Passagers,959 626,103 410,116 451,136 551,159 217,148 395,134 438,120 136,92 246,-,97 612
10.04,Trafic à l'aéroport international de Bujumbura, Ministère du Transport.,Bagages (en tonnes),608,736,589,436,136,36,175 780,104 889,1 569,2 063,559
10.04,Trafic à l'aéroport international de Bujumbura, Ministère du Transport.,Frets (tonnes),2 184,2 416,3 114,2 440,3 186,2 148,39,29,-,2 014,533
10.04,Trafic à l'aéroport international de Bujumbura, Ministère du Transport.,Postes (tonnes),40,51,45,46,43,37,499,294,-,49,26
10.04,Trafic à l'aéroport international de Bujumbura, Ministère du Transport.,Départs,"","","","","","","","","","",""
10.04,Trafic à l'aéroport international de Bujumbura, Ministère du Transport.,Passagers,68 704,79 350,78 943,91 434,101 793,109 208,106 684,86 941,52 277,-,71 420
10.04,Trafic à l'aéroport international de Bujumbura, Ministère du Transport.,Bagages (en tonnes),401,495,372,290,26,5,94 985,74 284,260,182,160
10.04,Trafic à l'aéroport international de Bujumbura, Ministère du Transport.,Frets (tonnes),365,275,331,310,365,335,100,42,-,119,109
10.04,Trafic à l'aéroport international de Bujumbura, Ministère du Transport.,Postes (tonnes),26,33,35,26,38,47,2 514,2 246,-,63,51
