id_tableau,titre_tableau,source,province,routes,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Bubanza,Routes nationales,85,85,85,85,85,85,85,85,85,85,85
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Bujumbura,Routes nationales,143,143,143,143,143,143,143,143,143,143,143
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Bururi,Routes nationales,216,216,216,216,216,216,216,125,125,125,125
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Cankuzo,Routes nationales,143,143,143,143,143,143,143,143,143,143,143
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Cibitoke,Routes nationales,156,156,156,156,156,156,156,156,156,156,156
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Gitega,Routes nationales,217,217,217,217,217,217,217,217,217,217,217
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Karuzi,Routes nationales,69,69,69,69,69,69,69,69,69,69,69
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Kayanza,Routes nationales,120,120,120,120,120,120,120,120,120,120,120
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Kirundo,Routes nationales,62,62,62,62,62,62,62,62,62,62,62
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Makamba,Routes nationales,123,123,123,123,123,123,123,123,123,123,123
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Muramvya,Routes nationales,66,66,66,66,66,66,66,66,66,66,66
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Muyinga,Routes nationales,81,81,81,81,81,81,81,81,81,81,81
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Ngozi,Routes nationales,112,112,112,112,112,112,112,112,112,112,112
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Rutana,Routes nationales,121,121,121,121,121,121,121,121,121,121,121
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Ruyigi,Routes nationales,155,155,155,155,155,155,155,155,155,155,155
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Mwaro,Routes nationales,51,51,51,51,51,51,51,51,51,51,51
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Bubanza,Routes provinciales,72,72,72,72,72,72,72,72,72,72,72
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Bujumbura,Routes provinciales,234,234,234,234,234,234,234,234,234,234,234
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Bururi,Routes provinciales,267,267,267,267,267,267,267,152,152,152,184
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Cankuzo,Routes provinciales,53,53,53,53,53,53,53,53,53,53,53
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Cibitoke,Routes provinciales,63,63,63,63,63,63,63,63,63,63,63
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Gitega,Routes provinciales,141,141,141,141,141,141,141,141,141,141,141
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Karuzi,Routes provinciales,168,168,168,168,168,168,168,168,168,168,167
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Kayanza,Routes provinciales,213,213,213,213,213,213,213,213,213,213,183
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Kirundo,Routes provinciales,191,191,191,191,191,191,191,191,191,191,191
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Makamba,Routes provinciales,158,158,158,158,158,158,158,158,158,158,152
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Muramvya,Routes provinciales,75,75,75,75,75,75,75,75,75,75,75
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Muyinga,Routes provinciales,132,132,132,132,132,132,132,132,132,132,132
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Ngozi,Routes provinciales,164,164,164,164,164,164,164,164,164,164,164
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Rutana,Routes provinciales,140,140,140,140,140,140,140,140,140,140,140
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Ruyigi,Routes provinciales,159,159,159,159,159,159,159,159,159,159,158
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Mwaro,Routes provinciales,169,169,169,169,169,169,169,169,169,169,169
10.06,Routes nationales et provinciales en kilomètres,Ministère du Transport,Rumonge,Routes provinciales,"","","","","","","",115,115,115,115
