id_tableau,titre_tableau,source,Nom du central,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Bujumbura I,23 600,23 600,23 600,23 480,26 200,26 200,26 200,26 200,21 656,21 656,21 656
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Ngagara (Bujumbura II),10 000,10 000,10 000,10 016,12 400,12 400,12 627,12 627,8 224,8 224,8 224
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Kanyosha(Bujumbura III),2 000,2 000,2 000,2 048,2 550,2 750,2 750,2 750,2 000,2 000,2 000
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Gitega,2 000,2 000,2 000,2 000,2 850,2 850,2 850,2 850,2 000,2 000,2 000
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Ruyigi,608,608,608,608,700,700,700,700,560,560,560
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Cankuzo,608,608,608,560,400,400,400,400,560,560,500
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Karuzi,608,608,608,560,100,100,100,100,560,560,560
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Ngozi,2 000,2 000,2 000,2 000,1 000,1 000,1 000,1 000,1 560,1 560,1 560
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Kirundo,1 000,1 000,1 000,1 000,1 000,1 000,1 000,1 000,544,544,544
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Kayanza,1 000,1 000,1 000,1 000,1 000,1 000,1 000,1 000,1 000,640,640
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Muyinga,1 000,1 000,1 000,1 000,1 000,1 000,1 000,1 000,1 000,624,624
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Bururi,1 000,1 000,1 000,1 000,400,400,400,400,500,500,500
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Gihofi,500,500,500,500,500,500,500,500,300,300,300
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Makamba,500,500,500,500,320,320,320,320,300,300,300
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Nyanza-Lac,300,300,300,300,154,154,154,154,200,200,200
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Rumonge,200,200,200,200,200,200,200,200,1 000,1 000,1 000
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Rutana,500,500,500,500,540,540,540,540,200,200,200
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Kiremba,300,300,300,500,100,100,100,100,300,300,0
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Bubanza,256,256,256,256,119,260,250,250,256,256,256
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Cibitoke,256,256,256,256,88,250,250,250,256,256,256
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Gisozi,256,256,256,256,46,250,250,250,256,0,0
10.09,Capacité des réseaux téléphoniques fixe de l'ONATEL au 31 décembre, Office National des Télécommunications (ONATEL).,Muramvya,256,256,256,256,90,250,300,300,256,256,256
