id_tableau,titre_tableau,source,province,commune,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Mairie,"",7,7,7,7,8,8,13,13,13,11,13
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Mairie,Bujumbura I,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Mairie,Bujumbura II (Buyenzi),1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Mairie,Bujumbura - Aéroport,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Mairie,Bujumbura - Port,"","","","","","",1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Mairie,Kinindo,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Mairie,Kanyosha,"","","","","","",1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Mairie,Musaga,"","","","","","",1,1,1,0,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Mairie,Kamenge,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Mairie,Buterere,"","","","","","",1,1,1,0,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Mairie,Gihosha,"","","","","","",1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Mairie,Ngagara,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Mairie,Mutanga,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Mairie,KINAMA,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Rurale,"",4,4,4,4,11,12,12,12,12,12,11
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Rurale,Magara,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Rurale,Gatumba,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Rurale,Ijenda,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Rurale,kirombwe,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Rurale,Isare,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Rurale,Kabezi,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Rurale,Ruyaga,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Rurale,Mubimbi,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Rurale,Gitaza,"","","","","",1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Rurale,Mukike,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Rurale,Mutambu,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bujumbura Rurale,Nyabiraba,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bubanza,"",1,1,1,5,5,5,5,5,5,5,6
10.11,Répartition des bureaux postaux par provinces, Régie,Bubanza,Bubanza,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bubanza,Gihanga,"","","",1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bubanza,Mpanda,"","","",1,1,1,1,1,1,1,2
10.11,Répartition des bureaux postaux par provinces, Régie,Bubanza,Musigati,"","","",1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Bubanza,Rugazi,"","","",1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Cibitoke,"",6,6,6,5,6,6,6,6,6,6,6
10.11,Répartition des bureaux postaux par provinces, Régie,Cibitoke,Buganda,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Cibitoke,Bukinanyana,"","","","",1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Cibitoke,Mabayi,"","","",1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Cibitoke,Mugina,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Cibitoke,Murwi,1,1,1,1,1,1,1,1,1,1,1
10.11,Répartition des bureaux postaux par provinces, Régie,Cibitoke,Cibitoke,1,1,1,1,1,1,1,1,1,1,1
