id_tableau,titre_tableau,source,Bureau postal,2012,2013,2014,2015,2016,2017,2018,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Bujumbura I,35 615,36 764,38975,40791,42438,43747,12817,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Bujumbura II (Buyenzi),11 633,11 896,12355,12447,12611,12746,5640,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Bujumbura - Aéroport,1 085,1 093,1151,1166,1173,1183,577,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Bujumbura - Port,33,"",39,41,42,44,14,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Kinindo,6 453,6 923,7480,7985,8330,8667,2535,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Kanyosha,-,-,-,626,850,973,712,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Musaga,-,-,-,403,-,458,335,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Kamenge,13 559,14 652,16358,17631,19045,19393,11700,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Buterere,"","",128,476,664,785,631,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Gihosha,"",15,298,497,673,793,577,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Ngagara,6 027,6 314,6654,6891,7007,7125,2183,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Mutanga,27 267,31 061,30638,33681,37690,37886,29589,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),KINAMA,1 054,1 648,2508,2871,3331,3654,1768,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Magara,302,341,"",516,548,576,151,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Gatumba,634,767,984,1069,1131,1238,851,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Ijenda,2 044,2 118,2990,3062,3127,3202,1954,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),kirombwe,158,204,246,275,300,313,116,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Isare,782,889,-,-,-,-,1579,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Kabezi,186,379,-,533,578,607,174,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Ruyaga,"",178,687,805,913,979,797,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Mubimbi,84,137,200,267,344,374,244,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Gitaza,-,-,-,105,125,156,180,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Mukike,-,-,-,743,796,841,688,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Mutambu,59,75,149,179,190,205,118,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Nyabiraba,-,-,-,377,430,455,255,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Bubanza,3 347,3 381,3628,3691,3713,3699,1715,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Gihanga,472,573,657,689,706,723,362,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Mpanda,739,779,895,922,957,966,318,"",""
10.12,Situation des abonnés à la poste, Régie Nationale des Postes (R.N.P.),Musigati,579,640,781,840,872,941,490,"",""
