id_tableau,titre_tableau,source,catégorie,sous_catégorie,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10.13,Trafic des envois ordinaires (nombre en millier)., Régie Nationale des Postes (R.N.P.),Intérieur,"",406 114,-,-,1 581,-,-,11 584,-,-,-,-
10.13,Trafic des envois ordinaires (nombre en millier)., Régie Nationale des Postes (R.N.P.),Intérieur,Dépôt,406 114,"",-,-,"",-,2 586,66 945,355 200,21 766,55 852
10.13,Trafic des envois ordinaires (nombre en millier)., Régie Nationale des Postes (R.N.P.),Intérieur,Réception,-,-,-,-,-,-,3 206,198 888,63 360,14 276,-
10.13,Trafic des envois ordinaires (nombre en millier)., Régie Nationale des Postes (R.N.P.),Intérieur,Expédition,-,-,-,-,-,-,1 368,244 296,72 480,15 302,7 960
10.13,Trafic des envois ordinaires (nombre en millier)., Régie Nationale des Postes (R.N.P.),Intérieur,Distribution,-,-,-,-,-,-,4 424,-,-,-,-
10.13,Trafic des envois ordinaires (nombre en millier)., Régie Nationale des Postes (R.N.P.),International,"",-,-,-,7 909,-,-,1 697,-,-,-,-
10.13,Trafic des envois ordinaires (nombre en millier)., Régie Nationale des Postes (R.N.P.),International,Dépôt,-,-,-,2 586,-,-,387,66 945,-,-,-
10.13,Trafic des envois ordinaires (nombre en millier)., Régie Nationale des Postes (R.N.P.),International,Réception,461 610,-,-,1 368,-,-,462,186 120,229 728,57 104,2 780
10.13,Trafic des envois ordinaires (nombre en millier)., Régie Nationale des Postes (R.N.P.),International,Expédition,5 349,-,-,1 857,-,-,156,190 944,377 232,3 826,1 536
10.13,Trafic des envois ordinaires (nombre en millier)., Régie Nationale des Postes (R.N.P.),International,Distribution,-,-,-,2 097,-,-,692,892 056,123 744,-,7 650
