id_tableau,titre_tableau,source,"",2010,2011,2012,2013,2014,2015,2016,2017,2018
10.21,Quelques renseignements du secteurs des télécommunications,ARCT,Nombres d'opérateurs de la teléphonie fixe,1,1,1,1,1,2,2,2,2
10.21,Quelques renseignements du secteurs des télécommunications,ARCT,Nombres d'opérateurs de la teléphonie mobile,5,5,5,5,5,4,4,4,4
10.21,Quelques renseignements du secteurs des télécommunications,ARCT,Les abonnés à la téléphonie fixe, 30 624,30 204,23 162,21 258,21 669,21 774,19 540,23 409,24 840
10.21,Quelques renseignements du secteurs des télécommunications,ARCT,Les abonnés à la teléphonie mobile (en milliers), 1 678,1 915,2 247,2 537,3 201,4 998,5 358,5 921,6 317
10.21,Quelques renseignements du secteurs des télécommunications,ARCT,Nombre de Fournisseurs d'Accés Internet,7,7,7,7,7,6,6,-,10
10.21,Quelques renseignements du secteurs des télécommunications,ARCT,Les abonnés Internet, 37 460,64 501,173 653,630 323,-,852 165,929 877,787 277,944 794
10.21,Quelques renseignements du secteurs des télécommunications,ARCT,Trafic voix national en minutes( en million) dont:, -,-,-,-,-,1 070,941,-,-
10.21,Quelques renseignements du secteurs des télécommunications,ARCT,Intra-réseaux mobiles (On Net)(en millier), -,-,-,-,-,782 533,634 494,-,-
10.21,Quelques renseignements du secteurs des télécommunications,ARCT,Inter-réseaux mobiles (Off Net) (en millier), -,-,-,-,-,268 151,276 405,-,-
10.21,Quelques renseignements du secteurs des télécommunications,ARCT,Trafic international Sortant (en millier),-,"","","","",19 064,13 314,8 359,14 052
