id_tableau,titre_tableau,source,catégorie,sous_catégorie,2014,2015,2016,2017,2018
10.22,Evolution des entreprises de transport,Ministère du transport,Transport aérien,Compagnie nationale ,1,1,1,1,1
10.22,Evolution des entreprises de transport,Ministère du transport,Transport aérien,Compagnie étrangère,5,7,7,7,4
10.22,Evolution des entreprises de transport,Ministère du transport,Transport aérien,Entreprise d'assistance,2,2,2,2,2
10.22,Evolution des entreprises de transport,Ministère du transport,Transport aérien,Entreprise de Régulation,1,1,1,1,1
10.22,Evolution des entreprises de transport,Ministère du transport,Transport aérien,Mouvements d'aéronefs, 3 007,2 480,2 397,4 912,3 268
10.22,Evolution des entreprises de transport,Ministère du transport,Transport aérien,"","","","","",""
10.22,Evolution des entreprises de transport,Ministère du transport,Transport terrestre,Agence de voyage publique,2,2,2,2,2
10.22,Evolution des entreprises de transport,Ministère du transport,Transport terrestre,Agence de voyage privée,61,52,51,51,57
10.22,Evolution des entreprises de transport,Ministère du transport,Transport terrestre,Véhicules de transport rémunerés, -,-,16274,19085,15176
10.22,Evolution des entreprises de transport,Ministère du transport,Transport terrestre,Nombre des véhicules aux Agences publique, -,-,86,86,86
