id_tableau,titre_tableau,source,Centres hydroélectrique,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
11.01, Production d'électricité par centre hydroélectrique (en Kwh).,REGIDESO,Rwegura,46 712 110,62 709 900,57 543 700,63 732 800,63 909 100,53 982 200,52 185 200,70 527 100,35 241 000,58 295 300
11.01, Production d'électricité par centre hydroélectrique (en Kwh).,REGIDESO,Mugere,46 311 080,42 106 642,46 575 833,51 328 777,48 949 761,52 811 844,55 079 241,46 580 160,36 936 073,46 626 184
11.01, Production d'électricité par centre hydroélectrique (en Kwh).,REGIDESO,Nyemanga,5 675 863,7 236 555,11 101 198,9 316 445,8 904 916,14 794 373,10 368 544,11 151 279,16 190 483,13 446 600
11.01, Production d'électricité par centre hydroélectrique (en Kwh).,REGIDESO,Kayenzi,1 126 260,1 546 036,1 546 620,1 191 495,1 577 142,2 663 286,1 310 413,1 006 861,740 055,1 481 745
11.01, Production d'électricité par centre hydroélectrique (en Kwh).,REGIDESO,Gikonge,4 598 750,5 202 960,5 140 390,5 240 150,4 392 823,5 776 810,6 765 400,5 681 410,4 719 570,4 299 060
11.01, Production d'électricité par centre hydroélectrique (en Kwh).,REGIDESO,Ruvyironza,5 344 370,4 314 430,4 996 500,6 594 710,8 596 812,8 144 028,8 237 200,5 426 000,4 361 000,4 370 620
11.01, Production d'électricité par centre hydroélectrique (en Kwh).,REGIDESO,Nyamyotsi,-,-,-,-,-,-,-,-,-,1233684
11.01, Production d'électricité par centre hydroélectrique (en Kwh).,REGIDESO,"C thermique5, 5MW",6 166 099,17 536 293,8 612 020,2 887 600,2 597 110,957 460,-,-,-,-
11.01, Production d'électricité par centre hydroélectrique (en Kwh).,REGIDESO,C thermique5MW,-,-,-,-,7 559 966,5 147 345,2 954 715,1 816 982,4 171 398,-
11.01, Production d'électricité par centre hydroélectrique (en Kwh).,REGIDESO,C thermique location 30MW,-,-,4 292 785,-,12 917 309,25 280 531,25 743 392,22 269 349,69 668 874,99 087 360
11.01, Production d'électricité par centre hydroélectrique (en Kwh).,REGIDESO,Marangara,1 218 048,1 378 197,1 476 480,1 393 836,991 704,1 136 892,303 900,41 136,-,448200
11.01, Production d'électricité par centre hydroélectrique (en Kwh).,REGIDESO,Buhiga,-,-,-,-,623 712,2 661 486,2 731 800,3 009 300,2 166 200,3 068 174
