id_tableau,titre_tableau,source,Catégories de consommateurs,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
11.04,Evolution de la consommation d'électricité par catégorie de consommateurs (en GWh),REGIDESO,Gouvernement,"5,7","4,8","5,5","5,6","6,1","6,2","6,1","4,8","4,9","4,2","2,2"
11.04,Evolution de la consommation d'électricité par catégorie de consommateurs (en GWh),REGIDESO,Commune et éclairage public,"0,9","0,5","0,3","0,2","0,3","0,5","1,4","0,3","0,1","0,2","2,3"
11.04,Evolution de la consommation d'électricité par catégorie de consommateurs (en GWh),REGIDESO,Commerce,"21,1","27,7","16,2","28,7","21,7","37,6","33,7","28,8","29,6","28,3","33,7"
11.04,Evolution de la consommation d'électricité par catégorie de consommateurs (en GWh),REGIDESO,Industries et artisanat,"22,2","20,7","19,9","27,0","25,2","27,6","33,4","25,4","22,8","29,2","41,9"
11.04,Evolution de la consommation d'électricité par catégorie de consommateurs (en GWh),REGIDESO,Ménages,"61,6","57,8","56,2","47,4","37,9","36,4","105,3","98,3","37,0","22,1","15,2"
11.04,Evolution de la consommation d'électricité par catégorie de consommateurs (en GWh),REGIDESO,REGIDESO,"5,3","6,6","30,6","9,3","9,2","4,0","4,9","3,9","2,9","3,1","1,3"
11.04,Evolution de la consommation d'électricité par catégorie de consommateurs (en GWh),REGIDESO,Organismes internationaux,"2,2","3,0","2,4","2,2","1,7","3,4","1,3","1,0","1,0","1,4","1,2"
11.04,Evolution de la consommation d'électricité par catégorie de consommateurs (en GWh),REGIDESO,Sociétés d'Etat,"7,5","8,4","8,2","9,4","7,2","9,8","10,7","9,0","11,9","10,3","12,2"
11.04,Evolution de la consommation d'électricité par catégorie de consommateurs (en GWh),REGIDESO,"Administration, gestion personnalisé","7,7","7,7","10,0","10,9","10,9","12,5","12,5","9,4","7,7","7,3",6
11.04,Evolution de la consommation d'électricité par catégorie de consommateurs (en GWh),REGIDESO,Conf. Religieuses et org. soc.,"4,2","4,1","4,4","4,3","5,1","2,8","4,3","3,2","2,8","2,7","2,3"
11.04,Evolution de la consommation d'électricité par catégorie de consommateurs (en GWh),REGIDESO,Ventes pré-payement,"21,9","27,2","35,5","54,4","61,5","70,9","79,0","74,9","85,6","77,7","100,8"
