id_tableau,titre_tableau,source,région,centre,2009,2010,2011,2012,2013,2014,2015,2016,2017
11.05,Evolution du nombre d'abonnés en électricité par centre,REGIDESO,Bujumbura,Bujumbura,34 997,37 696,41 771,48 897,51 078,55 248,59 239,66 697,79 036
11.05,Evolution du nombre d'abonnés en électricité par centre,REGIDESO,Région Sud,Rumonge,1 410,1 543,1 687,1 904,2 028,2 053,2 385,2 650,2 404
11.05,Evolution du nombre d'abonnés en électricité par centre,REGIDESO,Région Sud,Nyanza-Lac,382,409,480,518,544,560,709,750,656
11.05,Evolution du nombre d'abonnés en électricité par centre,REGIDESO,Région Sud,Makamba,914,989,1 119,1 182,1 348,1 370,1 638,1 754,1 689
11.05,Evolution du nombre d'abonnés en électricité par centre,REGIDESO,Région Sud,Bururi/Matana,1 192,1 287,1 356,1 451,1 468,1 499,1 732,2 040,1 982
11.05,Evolution du nombre d'abonnés en électricité par centre,REGIDESO,Région Est,Gitega,3 919,4 341,4 954,5 255,5 634,6 009,7 099,9 091,7 189
11.05,Evolution du nombre d'abonnés en électricité par centre,REGIDESO,Région Est,Rutana,403,434,470,496,535,547,615,761,654
11.05,Evolution du nombre d'abonnés en électricité par centre,REGIDESO,Région Est,Ruyigi,637,693,767,815,837,844,996,1 021,1 063
11.05,Evolution du nombre d'abonnés en électricité par centre,REGIDESO,Région Est,Cankuzo,355,401,447,485,524,539,608,650,661
11.05,Evolution du nombre d'abonnés en électricité par centre,REGIDESO,Région Nord,Karuzi/Buhiga,511,581,639,774,810,818,1 078,1 113,961
