id_tableau,titre_tableau,source,rubrique,mois,2017,2018
12.01,Indice national des prix à la consommation des ménages (base 100=Decembre 2016),ISTEEBU,Produits alimentaires et boissons non alcoolisées,"","526,1","526,1"
12.01,Indice national des prix à la consommation des ménages (base 100=Decembre 2016),ISTEEBU,Produits alimentaires et boissons non alcoolisées,Janvier,"112,5","116,4"
12.01,Indice national des prix à la consommation des ménages (base 100=Decembre 2016),ISTEEBU,Produits alimentaires et boissons non alcoolisées,Février,"124,8","114,0"
12.01,Indice national des prix à la consommation des ménages (base 100=Decembre 2016),ISTEEBU,Produits alimentaires et boissons non alcoolisées,Mars,"125,7","112,1"
12.01,Indice national des prix à la consommation des ménages (base 100=Decembre 2016),ISTEEBU,Produits alimentaires et boissons non alcoolisées,Avril,"124,6","112,7"
12.01,Indice national des prix à la consommation des ménages (base 100=Decembre 2016),ISTEEBU,Produits alimentaires et boissons non alcoolisées,Mai,"124,6","113,9"
12.01,Indice national des prix à la consommation des ménages (base 100=Decembre 2016),ISTEEBU,Produits alimentaires et boissons non alcoolisées,Juin,"121,0","111,6"
12.01,Indice national des prix à la consommation des ménages (base 100=Decembre 2016),ISTEEBU,Produits alimentaires et boissons non alcoolisées,Juillet,"119,7","109,7"
12.01,Indice national des prix à la consommation des ménages (base 100=Decembre 2016),ISTEEBU,Produits alimentaires et boissons non alcoolisées,Août,"120,1","107,1"
12.01,Indice national des prix à la consommation des ménages (base 100=Decembre 2016),ISTEEBU,Produits alimentaires et boissons non alcoolisées,Septembre,"121,7","102,7"
