id_tableau,titre_tableau,source,catégorie,code HS,2013,2014,2015,2016,2017,2018
13.02,Evolution des importations par grands groupes de produits en millions de FBU,ISTEEBU,Animaux vivants,1,2930,1097,810,2316,3505,2192
13.02,Evolution des importations par grands groupes de produits en millions de FBU,ISTEEBU,Viandes et abats domestibles,2,74,7074,4862,11394,8669,5279
13.02,Evolution des importations par grands groupes de produits en millions de FBU,ISTEEBU,Poissons et crustacés. mollusques et autres invertébrés aquatiques,3,3713,3356,2687,2882,2974,3090
13.02,Evolution des importations par grands groupes de produits en millions de FBU,ISTEEBU,"Lait et produits de la laiterie; œufs d'oiseaux; miel naturel; produits 
comestibles d'origine animale. non dénommés ni compris ailleurs",4,2681,3775,1964,1827,2002,1078
13.02,Evolution des importations par grands groupes de produits en millions de FBU,ISTEEBU,Autres produits d'origine animale. non dénommés ni compris ailleurs,5,49,228,92,20,419,13
13.02,Evolution des importations par grands groupes de produits en millions de FBU,ISTEEBU,Plantes vivantes et produits de la floriculture,6,2,80,8,15,63,16
13.02,Evolution des importations par grands groupes de produits en millions de FBU,ISTEEBU,"Légumes, plantes, racines et tubercules alimentaires",7,12911,4342,3076,3071,4498,9135
13.02,Evolution des importations par grands groupes de produits en millions de FBU,ISTEEBU,Fruits comestibles; écorces d'agrumes ou de melons,8,89,206,186,172,150,250
13.02,Evolution des importations par grands groupes de produits en millions de FBU,ISTEEBU,Cafe. the. mate et épices,9,175,276,256,411,1121,968
13.02,Evolution des importations par grands groupes de produits en millions de FBU,ISTEEBU,Céréales,10,114236,50424,27285,40910,99992,76087
