id_tableau,titre_tableau,source,produit,code HS,2013,2014,2015,2016,2017
13.04,Principaux produits importés (Poids net en tonnes).,ISTEEBU,"Huiles de pétrole ou de minéraux bitumineux, autres que les huiles brutes",2710,104751,121651,124035,140032,175499
13.04,Principaux produits importés (Poids net en tonnes).,ISTEEBU,Sang humain; sang animal préparé en vue d'usages thérapeutiques,3002,28,37,58,47,81
13.04,Principaux produits importés (Poids net en tonnes).,ISTEEBU,Médicaments,3004,3347,3174,3471,4115,4010
13.04,Principaux produits importés (Poids net en tonnes).,ISTEEBU,"Préparations chimiques contraceptives à base d'hormones, d'autres 
produits du 2937,...",3006,"",13,1916,"",""
13.04,Principaux produits importés (Poids net en tonnes).,ISTEEBU,"Engrais minéraux ou chimiques contenant deux ou trois des éléments 
fertilisants",3105,20233,18328,17601,30467,40560
13.04,Principaux produits importés (Poids net en tonnes).,ISTEEBU,"Pneumatiques neufs, en caoutchouc.",4011,"",532,388,3006,2473
13.04,Principaux produits importés (Poids net en tonnes).,ISTEEBU,"Voitures de tourisme et autres véhicules automobiles principalement conçus 
pour le transport de personnes",8703,4151,4362,724,4289,5249
13.04,Principaux produits importés (Poids net en tonnes).,ISTEEBU,Froment (blé) et méteil.,1001,28808,54986,18324,66249,82595
13.04,Principaux produits importés (Poids net en tonnes).,ISTEEBU,Riz,1006,17714,15126,10956,12009,27914
13.04,Principaux produits importés (Poids net en tonnes).,ISTEEBU,Véhicules automobiles pour le transport de marchandises.,8704,2060,2155,848,2492,3237
