id_tableau,titre_tableau,source,pays,2013,2014,2015,2016,2017,2018
13.10 ,Evolution des importations à partir des pays de la SADC(en millions de FBU),ISTEEBU,Angola,"","",7,"","",""
13.10 ,Evolution des importations à partir des pays de la SADC(en millions de FBU),ISTEEBU,Botswana,"","","","","",""
13.10 ,Evolution des importations à partir des pays de la SADC(en millions de FBU),ISTEEBU,RDC,6406,6276,4791,3361,1640,6990
13.10 ,Evolution des importations à partir des pays de la SADC(en millions de FBU),ISTEEBU,Lesotho,"","","","","",""
13.10 ,Evolution des importations à partir des pays de la SADC(en millions de FBU),ISTEEBU,Madagascar,240,1953,202,267,34,1
13.10 ,Evolution des importations à partir des pays de la SADC(en millions de FBU),ISTEEBU,Maurice,1741,1427,377,220,833,285
13.10 ,Evolution des importations à partir des pays de la SADC(en millions de FBU),ISTEEBU,Malawi,80,20,"",5,22,3
13.10 ,Evolution des importations à partir des pays de la SADC(en millions de FBU),ISTEEBU,Mozambique,54,"",2,11,5767,15436
13.10 ,Evolution des importations à partir des pays de la SADC(en millions de FBU),ISTEEBU,Namibie,2,22,"","",19,75
13.10 ,Evolution des importations à partir des pays de la SADC(en millions de FBU),ISTEEBU,Seychelles,"","",1913,"",1,2588
