id_tableau,titre_tableau,source,continent,region,pays,2013,2014,2015,2016,2017,2018
13.11,Evolution des Exportations par continents(en millions de FBU),ISTEEBU,Afrique,"","",74343,86277,83418,80039,89191,87829
13.11,Evolution des Exportations par continents(en millions de FBU),ISTEEBU,Afrique,EAC,"",50913,38394,35946,20337,19971,29579
13.11,Evolution des Exportations par continents(en millions de FBU),ISTEEBU,Afrique,CEEAC,"",18495,41579,42370,42773,46225,43520
13.11,Evolution des Exportations par continents(en millions de FBU),ISTEEBU,Afrique,CEPGL,"",31577,49705,49140,51244,50327,43405
13.11,Evolution des Exportations par continents(en millions de FBU),ISTEEBU,Afrique,COMESA,"",55976,80131,79623,75596,85493,82753
13.11,Evolution des Exportations par continents(en millions de FBU),ISTEEBU,Afrique,SADC,"",40207,47593,46532,46430,52443,44204
13.11,Evolution des Exportations par continents(en millions de FBU),ISTEEBU,Amérique,"","",1272,1434,2558,4021,4270,4306
13.11,Evolution des Exportations par continents(en millions de FBU),ISTEEBU,Amérique,"",Etats-Unies,1010,1015,2159,3763,3698,3636
13.11,Evolution des Exportations par continents(en millions de FBU),ISTEEBU,Amérique,Autres pays d'Amerique,"",262,420,399,258,"",""
13.11,Evolution des Exportations par continents(en millions de FBU),ISTEEBU,Europe,"","",32991,70717,49603,82208,56062,67020
