id_tableau,titre_tableau,source,catégorie,code HS4,2013,2014,2015,2016,2017,2018
13.15,Les réexportations en valeur (en millions de FBU),ISTEEBU,"Cafe, meme torrefie ou decafeine; coques et pellicules de cafe; 
succedanes du cafe conte",0901,"","2125,8","1983,8","231,8","199,5","329,4"
13.15,Les réexportations en valeur (en millions de FBU),ISTEEBU,"The, meme aromatise",0902,"","","203,4","","",""
13.15,Les réexportations en valeur (en millions de FBU),ISTEEBU,Froment (ble) et meteil,1001,"","272,3","","","",""
13.15,Les réexportations en valeur (en millions de FBU),ISTEEBU,Mais,1005,"335,9","","","","","351,0"
13.15,Les réexportations en valeur (en millions de FBU),ISTEEBU,"Malt, meme torrefie",1107,"","","","","","327,0"
13.15,Les réexportations en valeur (en millions de FBU),ISTEEBU,"Extraits de malt; preparations alimentaires de farines, semoules, amidons, 
fecules ou ex",1901,"","","","195,7","",""
13.15,Les réexportations en valeur (en millions de FBU),ISTEEBU,Preparations alimentaires non denommees ni comprises ailleurs,2106,"522,7","","396,1","293,4","",""
13.15,Les réexportations en valeur (en millions de FBU),ISTEEBU,Bieres de malt,2203,"","","","","","908,7"
13.15,Les réexportations en valeur (en millions de FBU),ISTEEBU,"Alcool ethylique non denature d'un titre alcoometrique volumique de 80 % 
vol ou plus; al",2207,"","139,7","","","",""
13.15,Les réexportations en valeur (en millions de FBU),ISTEEBU,"Alcool ethylique non denature d'un titre alcoometrique volumique de moins 
de 80 % vol; e",2208,"183,3","","","","",""
