id_tableau,titre_tableau,source,categorie,code HS4,2013,2014,2015,2016,2017,2018
13.16,Les réexportations en quantité (Tonnes),ISTEEBU,"Cafe, meme torrefie ou decafeine; coques et pellicules de cafe; 
succedanes du cafe conte",0901,"","581,5","966,5","21,3",621,"917,7"
13.16,Les réexportations en quantité (Tonnes),ISTEEBU,"The, meme aromatise",0902,"","","111,8","","",""
13.16,Les réexportations en quantité (Tonnes),ISTEEBU,Froment (ble) et meteil,1001,"",49,"","","",""
13.16,Les réexportations en quantité (Tonnes),ISTEEBU,Mais,1005,"1428,7","","","","","57,8"
13.16,Les réexportations en quantité (Tonnes),ISTEEBU,"Malt, meme torrefie",1107,"","","","","",2
13.16,Les réexportations en quantité (Tonnes),ISTEEBU,"Extraits de malt; preparations alimentaires de farines, semoules, amidons, 
fecules ou ex",1901,"","","","21,9","",""
13.16,Les réexportations en quantité (Tonnes),ISTEEBU,Preparations alimentaires non denommees ni comprises ailleurs,2106,"78,9","","15,2","39,9","",""
13.16,Les réexportations en quantité (Tonnes),ISTEEBU,Bieres de malt,2203,"","","","","","115,9"
13.16,Les réexportations en quantité (Tonnes),ISTEEBU,"Alcool ethylique non denature d'un titre alcoometrique volumique de 80 % 
vol ou plus; al",2207,"","319,2","","","",""
13.16,Les réexportations en quantité (Tonnes),ISTEEBU,"Alcool ethylique non denature d'un titre alcoometrique volumique de moins 
de 80 % vol; e",2208,"8,4","","","","",""
