id_tableau,titre_tableau,source,categorie,sous-categorie,sous-sous-sous categorie,2011,2012,2013,2014,2015,2016,2017,2018
13.18,Exportations des services et revenus primaires (en million de francs burundais),BRB,Autres revenus primaires,"","","","","","","","","","14,4"
13.18,Exportations des services et revenus primaires (en million de francs burundais),BRB,Transports,"","","3013,3","3815,7","2813,3","","4039,4","3647,0","3238,8","3952,8"
13.18,Exportations des services et revenus primaires (en million de francs burundais),BRB,Transports,maritime,"","1533,4","2141,9","1572,6","","743,5","466,7","301,5","483,7"
13.18,Exportations des services et revenus primaires (en million de francs burundais),BRB,Transports,aérien,"","1479,9","1673,8","1240,7","","2531,6","2258,6","2470,9","2964,7"
13.18,Exportations des services et revenus primaires (en million de francs burundais),BRB,Transports,autres,"","","","","","764,3","915,2","452,2","478,1"
13.18,Exportations des services et revenus primaires (en million de francs burundais),BRB,Services postaux et de messagerie,"","","","","","","","6,2","14,2","26,3"
13.18,Exportations des services et revenus primaires (en million de francs burundais),BRB,Voyages,"","","3148,6","2091,7","3563,3","","3438,2","3123,4","5200,9","6983,3"
13.18,Exportations des services et revenus primaires (en million de francs burundais),BRB,Voyages,professionnels,"","","","28,6","","37,4","372,7","739,1","550,1"
13.18,Exportations des services et revenus primaires (en million de francs burundais),BRB,Voyages,personnels,"","3148,6","2091,7","3534,7","","3400,8","2750,7","4461,8","6433,2"
13.18,Exportations des services et revenus primaires (en million de francs burundais),BRB,Voyages,personnels,soins de santé,"78,5","26,5","104,6","","308,8","323,3","250,1","603,9"
