id_tableau,titre_tableau,source,pays,2013,2014
13.20 ,Repartition Geographique des IPF en millions de BIF,ISTEEBU,PAYS NON SPECIFIE,"1874,7","3134,8"
13.20 ,Repartition Geographique des IPF en millions de BIF,ISTEEBU,RWANDA,"1390,6","233,0"
13.20 ,Repartition Geographique des IPF en millions de BIF,ISTEEBU,AFRIQUE DU SUD,"377,7","377,7"
13.20 ,Repartition Geographique des IPF en millions de BIF,ISTEEBU,KENYA,"186,0","186,0"
13.20 ,Repartition Geographique des IPF en millions de BIF,ISTEEBU,NIGERIA,"108,6",""
13.20 ,Repartition Geographique des IPF en millions de BIF,ISTEEBU,BELGIQUE,"41,1",40
13.20 ,Repartition Geographique des IPF en millions de BIF,ISTEEBU,TANZANIE,"15,5","172,1"
13.20 ,Repartition Geographique des IPF en millions de BIF,ISTEEBU,SUISSE,"13,0","13,0"
13.20 ,Repartition Geographique des IPF en millions de BIF,ISTEEBU,ITALIE,"1,6","57,1"
13.20 ,Repartition Geographique des IPF en millions de BIF,ISTEEBU,ESPAGNE,"0,8","0,9"
