id_tableau,titre_tableau,source,categorie,sous-categorie,2014
13.25,Distribution des IDE par branches d'activités selon les types d'entreprises d'investissement en 2014,ISTEEBU/Enquête sur les investissements directs étrangers (EIDEB),Transport et Communication,Affilié,0
13.25,Distribution des IDE par branches d'activités selon les types d'entreprises d'investissement en 2015,ISTEEBU/Enquête sur les investissements directs étrangers (EIDEB),Transport et Communication,Filiale,92.1
13.25,Distribution des IDE par branches d'activités selon les types d'entreprises d'investissement en 2016,ISTEEBU/Enquête sur les investissements directs étrangers (EIDEB),Transport et Communication,Succursale,12.4
13.25,Distribution des IDE par branches d'activités selon les types d'entreprises d'investissement en 2017,ISTEEBU/Enquête sur les investissements directs étrangers (EIDEB),Banque et Assurance,Affilié,18.8
13.25,Distribution des IDE par branches d'activités selon les types d'entreprises d'investissement en 2018,ISTEEBU/Enquête sur les investissements directs étrangers (EIDEB),Banque et Assurance,Filiale,27
13.25,Distribution des IDE par branches d'activités selon les types d'entreprises d'investissement en 2019,ISTEEBU/Enquête sur les investissements directs étrangers (EIDEB),Banque et Assurance,Succursale,0
13.25,Distribution des IDE par branches d'activités selon les types d'entreprises d'investissement en 2020,ISTEEBU/Enquête sur les investissements directs étrangers (EIDEB),Commerce et reparation,Affilié,0.9
13.25,Distribution des IDE par branches d'activités selon les types d'entreprises d'investissement en 2021,ISTEEBU/Enquête sur les investissements directs étrangers (EIDEB),Commerce et reparation,Filiale,1.5
13.25,Distribution des IDE par branches d'activités selon les types d'entreprises d'investissement en 2022,ISTEEBU/Enquête sur les investissements directs étrangers (EIDEB),Commerce et reparation,Succursale,14.8
13.25,Distribution des IDE par branches d'activités selon les types d'entreprises d'investissement en 2023,ISTEEBU/Enquête sur les investissements directs étrangers (EIDEB),Autres services marchands,Affilié,0.3
