id_tableau,titre_tableau,source,categorie,sous-categorie,2009,2010,2011,2012,2013,2014,2015
13.26,Evolution des déboursements de l'aide par donateur (en millions de USD),CNCA,Systèmes des Nations Unies,FAO,0.5,"0,7","0,2","","","",""
13.26,Evolution des déboursements de l'aide par donateur (en millions de USD),CNCA,Systèmes des Nations Unies,FIDA,12.1,"5,3","4,3","12,5","12,7","13,3","6,2"
13.26,Evolution des déboursements de l'aide par donateur (en millions de USD),CNCA,Systèmes des Nations Unies,OIT,"","","","","","",""
13.26,Evolution des déboursements de l'aide par donateur (en millions de USD),CNCA,Systèmes des Nations Unies,PNUD,12.3,14,"10,1","6,8","6,3","10,7","3,4"
13.26,Evolution des déboursements de l'aide par donateur (en millions de USD),CNCA,Systèmes des Nations Unies,UNESCO,"","0,5","0,6","0,4","0,5","0,4","0,1"
13.26,Evolution des déboursements de l'aide par donateur (en millions de USD),CNCA,Systèmes des Nations Unies,FNUAP,0.8,"2,7",2,"2,3","3,6","3,6","4,6"
13.26,Evolution des déboursements de l'aide par donateur (en millions de USD),CNCA,Systèmes des Nations Unies,UNICEF,"",20,16,"11,9",20,"24,6","27,1"
13.26,Evolution des déboursements de l'aide par donateur (en millions de USD),CNCA,Systèmes des Nations Unies,ONUDI,"","","","","","",""
13.26,Evolution des déboursements de l'aide par donateur (en millions de USD),CNCA,Systèmes des Nations Unies,ONUFEMMES,1,"","0,2","0,1","0,1","0,1","1,5"
13.26,Evolution des déboursements de l'aide par donateur (en millions de USD),CNCA,Systèmes des Nations Unies,PAM,"","","","2,6","23,6",1,"4,1"
