id_tableau,titre_tableau,source,pays,2009,2010,2011,2012,2013,2014,2015
13.27,Résumé des déboursements de l'aide bilateraux (en millions de USD),CNCA,Autriche,"","","","","","",""
13.27,Résumé des déboursements de l'aide bilateraux (en millions de USD),CNCA,Belgique,24,32,45,70,68,65,57
13.27,Résumé des déboursements de l'aide bilateraux (en millions de USD),CNCA,Canada,"1,3",2,"","","","",""
13.27,Résumé des déboursements de l'aide bilateraux (en millions de USD),CNCA,Chine,7,"","","","","",""
13.27,Résumé des déboursements de l'aide bilateraux (en millions de USD),CNCA,France,8,7,9,7,6,1,1
13.27,Résumé des déboursements de l'aide bilateraux (en millions de USD),CNCA,Allemagne,27,27,28,23,23,27,37
13.27,Résumé des déboursements de l'aide bilateraux (en millions de USD),CNCA,Italie,3,"0,1",1,"","","",""
13.27,Résumé des déboursements de l'aide bilateraux (en millions de USD),CNCA,Japon,7,16,3,9,34,"",""
13.27,Résumé des déboursements de l'aide bilateraux (en millions de USD),CNCA,Pays-Bas,7,22,20,14,26,27,33
13.27,Résumé des déboursements de l'aide bilateraux (en millions de USD),CNCA,Suisse,6,16,11,18,13,10,10
