id_tableau,titre_tableau,source,rubriques,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018-2019
15.02,Evolution des Recettes fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Recettes fiscales,236 714,286 717,363 087,440 974,491 879,379 614,401 056,549 668,567 509,699 099,823 522
15.02,Evolution des Recettes fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Impôts sur les revenu les bénéfices et les gains en capital,66 831,80 584,114 359,123 972,155 909,143 860,133 359,132 037,147 983,165 990,217 042
15.02,Evolution des Recettes fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Impôts sur les revenu payés par les personnes physiques,30 273,32 360,55 325,52 808,72 883,48 826,52 007,57 631,68 816,80 088,85 980
15.02,Evolution des Recettes fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Impôts sur les personnes morales,35 557,40 303,56 764,70 627,82 531,94 574,80 743,73 964,78 433,85 649,130 810
15.02,Evolution des Recettes fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Impôts sur les revenu non ventilables,1 001,7 922,2 271,537,495,460,608,442,734,253,252
15.02,Evolution des Recettes fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Impôt sur les biens et services,117 248,147 524,195 130,245 915,276 706,185 228,210 505,366 182,352 874,465 034,524 681
15.02,Evolution des Recettes fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Impôts sur le commerce extérieur et transactions internationales,33 929,29 321,37 141,53 940,49 822,48 920,54 938,51 540,66 653,68 075,81 799
15.02,Evolution des Recettes fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Droits de douane et autres droits d'importation,32 048,27 863,32 771,48 830,43 723,42 218,45 296,44 192,59 112,57 075,72 617
15.02,Evolution des Recettes fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Taxes à l'exportation,1 881,1 456,217,162,167,588,282,120,426,419,750
15.02,Evolution des Recettes fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Autres impôts sur le commerce extérieur et les transactions internationales,1,2,4 154,4 949,5 932,6 115,7 105,7 138,7 116,10 581,8 432
15.02,Evolution des Recettes fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Compensation COMESA,18 706,29 288,16 458,17 147,9 441,1 605,2 255,-,-,-,-
