id_tableau,titre_tableau,source,categories,sous_categories,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018-2019
15.03,Evolution des Recettes non fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Recettes non fiscales,"",23 065,20 886,29 965,32 184,34 880,36 350,83 733,45 872,53 229,55 040,73 754
15.03,Evolution des Recettes non fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Revenus de la propriété,"",23 065,20 886,29 965,32 184,34 880,15 993,26 112,13 436,17 088,19 234,25 452
15.03,Evolution des Recettes non fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Dividendes,"",11 863,6 394,4 232,18 311,14 687,12 077,22 320,10 485,11 898,10 734,19 028
15.03,Evolution des Recettes non fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Loyers,"",11 202,14 493,25 733,13 873,20 193,3 916,3 792,2 951,5 190,5 440,6 424
15.03,Evolution des Recettes non fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Ventes des biens et services,"","","","","","",599,651,1 092,1 878,1 535,1 956
15.03,Evolution des Recettes non fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Droits administratifs,"","","","","","",10 521,42 516,21 723,20 825,22 549,26 223
15.03,Evolution des Recettes non fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Droits administratifs,"Droits de visas,passeports et séjours","","","","","",2 730,2 743,3 440,3 706,4 116,5 908
15.03,Evolution des Recettes non fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Droits administratifs,Droits et permis sur l'exercice d'activités,"","","","","",2 308,2 013,1 899,2 508,2 729,3 921
15.03,Evolution des Recettes non fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Droits administratifs,Divers droits et redevances,"","","","","",5 483,37 761,16 384,14 610,15 705,16 394
15.03,Evolution des Recettes non fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Amendes et pénalités,"","","","","","",982,1 217,1 488,2 513,3 753,4 009
15.03,Evolution des Recettes non fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Autres produits non fiscaux nca,"","","","","","",468,495,2 781,301,11 029,4 058
15.03,Evolution des Recettes non fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Autres produits non fiscaux nca,"","","","","","",468,495,1 029,301,748,4 058
15.03,Evolution des Recettes non fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Taxe de sureté,"","","","","","",-,-,6 599,10 583,10 220,12 056
15.03,Evolution des Recettes non fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Produits exceptionnels,"","","","","","",736,43,471,42,62,44 651
15.03,Evolution des Recettes non fiscales (en millions de FBU),"B.R.B/Rapports annuels (2007-2012), Ministère des Finances (2013-2017)",Recettes des douanes,"","","","","","",7 049,12 698,-,-,-,-
