id_tableau,titre_tableau,source,dette publique,categorie,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018-2019
15.06,Evolution de la dette publique (en millions de FBU),B.R.B/Rapports annuels,Dette intérieure,"",272 438,366 046,427 103,513 482,539 600,597 962,727 264,1 070 573,1 376 308,1 647 834,1 647 834
15.06,Evolution de la dette publique (en millions de FBU),B.R.B/Rapports annuels,Dette intérieure,Bons du trésor,101 639,115 712,173 912,191 464,126 869,200 848,244 568,393 529,601 589,829 764,829 764
15.06,Evolution de la dette publique (en millions de FBU),B.R.B/Rapports annuels,Dette intérieure,Bons d'investissements  ,"

170 799","

250 334","

253 190","

322 019","

410 025","


396 574","


448 064","


641 725","


752 300","


787 208","


787 208"
15.06,Evolution de la dette publique (en millions de FBU),B.R.B/Rapports annuels,Dette intérieure,Certificats du trésor,"","","","","","","","","","",""
15.06,Evolution de la dette publique (en millions de FBU),B.R.B/Rapports annuels,Dette intérieure,Avances de la BRB,170 799,250 334,253 190,322 019,410 025,396 574,448 064,641 725,752 300,787 208,787 208
15.06,Evolution de la dette publique (en millions de FBU),B.R.B/Rapports annuels,Dette intérieure,Autres dettes intérieures,-,-,-,-,2 705,539,34 633,35 319,22 419,30 862,30 862
15.06,Evolution de la dette publique (en millions de FBU),B.R.B/Rapports annuels,Dette extérieure,"",1 567 959,561 392,494 683,485 081,607 681,615 708,656 564,691 234,724 330,778 293,778 293
15.06,Evolution de la dette publique (en millions de FBU),B.R.B/Rapports annuels,Dette extérieure,Dette directe,1 370 355,449 575,463 268,481 050,604 998,613 116,654 154,688 985,722 120,776 285,776 285
15.06,Evolution de la dette publique (en millions de FBU),B.R.B/Rapports annuels,Dette extérieure,Dette indirecte,197 604,111 817,31 415,4 031,2 684,2 591,2 410,2 249,2 210,2 008,2 008
15.06,Evolution de la dette publique (en millions de FBU),B.R.B/Rapports annuels,Total,"",1 840 396,927 438,921 786,998 564,1 147 281,1 213 669,1 383 828,1 761 807,2 100 638,2 426 126,2 426 126
