id_tableau,titre_tableau,source,categorie,sous_categorie,rubriques,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
15.07,Dette publique extérieure par secteurs (en millions de FBU),B.R.B/Rapports annuels,Dette directe,"","",1 370 355,449 575,463 268,481 050,604 998,613 116,654 154,688 985,722 120,776 284
15.07,Dette publique extérieure par secteurs (en millions de FBU),B.R.B/Rapports annuels,Dette directe,Equipements publics,"",448 717,177 792,199 005,211 480,250 764,255 427,295 739,326 195,333 207,360 080
15.07,Dette publique extérieure par secteurs (en millions de FBU),B.R.B/Rapports annuels,Dette directe,Equipements publics,Transports - Routes,281 800,118 032,148 124,171 686,206 819,211 420,254 288,267 288,275 051,296 721
15.07,Dette publique extérieure par secteurs (en millions de FBU),B.R.B/Rapports annuels,Dette directe,Equipements publics,Transports - Aéroport et Port,270 066,105 428,148 100,171 660,206 819,211 420,254 288,267 288,275 051,296 721
15.07,Dette publique extérieure par secteurs (en millions de FBU),B.R.B/Rapports annuels,Dette directe,Equipements publics,"",11 733,12 604,24,26,-,-,-,-,-,-
15.07,Dette publique extérieure par secteurs (en millions de FBU),B.R.B/Rapports annuels,Dette directe,Equipements publics,Infrastructures urbaines,166 444,59 761,50 881,39 793,43 945,44 007,41 452,40 798,41 166,44 704
15.07,Dette publique extérieure par secteurs (en millions de FBU),B.R.B/Rapports annuels,Dette directe,Equipements publics,Divers,473,-,-,-,-,-,-,18 109,16 989,18 655
15.07,Dette publique extérieure par secteurs (en millions de FBU),B.R.B/Rapports annuels,Dette directe,Secteurs productifs,"",217 105,65 450,59 359,61 808,106 463,110 961,114 069,122 936,129 699,141 181
15.07,Dette publique extérieure par secteurs (en millions de FBU),B.R.B/Rapports annuels,Dette directe,Secteurs productifs,Agriculture & élevage,186 445,59 054,56 908,61 808,71 214,74 107,74 713,79 743,84 296,95 642
15.07,Dette publique extérieure par secteurs (en millions de FBU),B.R.B/Rapports annuels,Dette directe,Secteurs productifs,Sylviculture,23 976,3 692,-,-,-,-,-,-,-,-
