id_tableau,titre_tableau,source,provinces,communes,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
15.10,Evolution des dépenses des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Bubanza,39064,45815,46232,58866,58025,62204,121193,90863,107095,117895
15.10,Evolution des dépenses des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Gihanga,77714,66669,82139,63089,86423,124128,153349,134136,165616,167075
15.10,Evolution des dépenses des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Mpanda,46143,63239,62605,121887,127333,121483,200643,143916,186319,185404
15.10,Evolution des dépenses des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Musigati,33377,46480,43839,58051,75374,86351,88076,57725,75562,115421
15.10,Evolution des dépenses des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Rugazi,43934,35134,47349,63379,67852,126973,281724,104209,220433,181144
15.10,Evolution des dépenses des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Mairie,Bujumbura Mairie,-,-,4124608,3292805,3662427,"",9667420,4422198,5864435,8630087
15.10,Evolution des dépenses des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Bugarama,"",24174,22251,35118,36853,49674,74318,"","",""
15.10,Evolution des dépenses des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Isale,-,-,71202,142549,190793,129590,67817,62356,107307,145269
15.10,Evolution des dépenses des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Kabezi,44768,49769,47206,59317,102505,165835,119063,-,76145,124670
15.10,Evolution des dépenses des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Kanyosha,48867,48259,55514,53013,80320,78781,95000,67095,86520,127553
