id_tableau,titre_tableau,source,provinces,communes,2014,2015,2016,2017
15.11,Evolution des recettes d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Bubanza,-,-,91544,507198
15.11,Evolution des recettes d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Gihanga,26762,182596,359773,569008
15.11,Evolution des recettes d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Mpanda,50000,67908,249921,457195
15.11,Evolution des recettes d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Musigati,30061,106125,303272,293902
15.11,Evolution des recettes d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Rugazi,17925,3461617,289457,1476854
15.11,Evolution des recettes d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Mairie,Bujumbura Mairie,1634500,5324659,565653,1480910
15.11,Evolution des recettes d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Isale,-,56686,235274,371556
15.11,Evolution des recettes d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Kabezi,146068,-,456729,499909
15.11,Evolution des recettes d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Kanyosha,27700,25933,208489,335439
15.11,Evolution des recettes d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Mubimbi,82129,371301,174621,374715
