id_tableau,titre_tableau,source,provinces,communes,2016,2017
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Bubanza,76341,507198
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Gihanga,349260,569008
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Mpanda,247086,457195
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Musigati,303272,293902
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bubanza,Rugazi,288669,9131497
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Mairie,Bujumbura Mairie,788336,1480910
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Isale,235274,371556
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Kabezi,445244,499909
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Kanyosha,208487,335439
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Mubimbi,174620,374715
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Mungongomanga,63976,516336
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Mukike,247756,392837
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Mutambu,290945,39171
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Mutimbuzi,87184,661210
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bujumbura Rural,Nyabiraba,214143,412634
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bururi,Bururi,191348,427896
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bururi,Matana,149014,466566
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bururi,Mugamba,420483,264652
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bururi,Rutovu,155875,361480
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bururi,Songa,129357,170513
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Bururi,Vyanda,128390,400879
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Cankuzo,Cankuzo,218798,574320
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Cankuzo,Cendajuru,147923,245632
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Cankuzo,Gisagara,724255,547613
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Cankuzo,Kigamba,-,8825
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Cankuzo,Mishiha,246278,410925
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Cibitoke,Buganda,198960,315526
15.12,Evolution des dépenses d'investissement des communes (en milliers de FBU),Département des Finances Communales,Cibitoke,Bukinanyana,169648,509972
