id_tableau,titre_tableau,source,categorie,sous_categorie,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
16.03,Répartition des dépôts bancaires par détenteur (fin d'année : en millions de FBU), BRB,Dépôts à vue,"","283 476,8","346 669,2","331 809,0","874 794,7","384 189,6","437 836,1","435 844,2","655 029,7","866 281,1","1 061 435,7"
16.03,Répartition des dépôts bancaires par détenteur (fin d'année : en millions de FBU), BRB,Dépôts à vue,Particuliers,"135 849,7","159 190,2","165 396,0","176 823,4","166 576,5","177 388,3","189 835,4","316 037,6","375 744,4","437 093,7"
16.03,Répartition des dépôts bancaires par détenteur (fin d'année : en millions de FBU), BRB,Dépôts à vue,Entreprises privées,"48 040,5","72 120,5","58 296,3","82 976,3","90 279,8","115 720,4","123 232,3","225 746,6","326 907,2","474 547,4"
16.03,Répartition des dépôts bancaires par détenteur (fin d'année : en millions de FBU), BRB,Dépôts à vue,Organismes publics,"16 952,3","21 436,8","21 118,4","16 096,8","25 706,7","18 060,5","22 890,8","27 908,4","47 951,7","34 656,9"
16.03,Répartition des dépôts bancaires par détenteur (fin d'année : en millions de FBU), BRB,Dépôts à vue,Autres comptes,"80 385,3","85 965,1","86 149,6","598 898,2","101 626,6","121 909,3","90 562,3","75 484,4","105 581,5","104 399,3"
16.03,Répartition des dépôts bancaires par détenteur (fin d'année : en millions de FBU), BRB,Dépôts à vue,Etablissements financiers,"","2 545,3","848,1","3 398,2","3 308,7","2 610,1","7 505,3","6 547,7","6 295,8","7 178,0"
16.03,Répartition des dépôts bancaires par détenteur (fin d'année : en millions de FBU), BRB,Dépôts à vue,Administrations locales,"","420,3","723,5","482,4","998,5","2 147,5","1 818,1","3 305,0","3 800,5","3 560,4"
16.03,Répartition des dépôts bancaires par détenteur (fin d'année : en millions de FBU), BRB,Dépôts à terme et d'épargne,"","126 377,8","153 128,5","187 110,6","169 962,3","225 296,2","242 554,4","280 591,1","293 407,5","362 061,3","444 502,6"
16.03,Répartition des dépôts bancaires par détenteur (fin d'année : en millions de FBU), BRB,Dépôts à terme et d'épargne,Particuliers,"79 280,6","94 215,2","98 847,5","99 093,4","107 914,4","113 152,6","116 799,0","163 856,7","183 744,3","215 753,7"
16.03,Répartition des dépôts bancaires par détenteur (fin d'année : en millions de FBU), BRB,Dépôts à terme et d'épargne,Entreprises privées,"15 450,6","18 808,5","33 704,1","22 695,8","24 661,4","34 605,5","60 016,9","60 710,7","105 035,8","143 536,4"
