id_tableau,titre_tableau,source,categorie,sous_categorie_1,sous_categorie_2,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
16.04,Evolution des risques du système financier (en millions de FBU), BRB,Crédits distribués,"","","331 402,2","430 565,1","571 583,0","644 982,0","694 920,6","768 747,9","766 832,1","922 588,2","949 676,9","1 141 922,6"
16.04,Evolution des risques du système financier (en millions de FBU), BRB,Crédits distribués,Crédits à court terme,"","211 498,8","273 985,4","390 864,4","423 907,0","432 913,2","451 093,8","470 162,1","605 766,6","603 383,7","713 590,8"
16.04,Evolution des risques du système financier (en millions de FBU), BRB,Crédits distribués,Crédits à court terme,Importations après expédition,"1 946,3","1 895,9","1 824,6","2 652,5","3 893,5","5 745,1","5 745,1","3 280,3","2 339,6","10 047,8"
16.04,Evolution des risques du système financier (en millions de FBU), BRB,Crédits distribués,Crédits à court terme,Mobilisation des créances commerciales,"5 721,7","6 432,4","10 070,2","8 670,6","27 883,9","14 479,8","166 493,1","199 717,1","138 435,1","143 293,5"
16.04,Evolution des risques du système financier (en millions de FBU), BRB,Crédits distribués,Crédits à court terme,Exportations,"2 961,4","11 832,6","12 577,6","10 386,6","6 959,1","1 179,6","6 807,3","438,6","10 346,8","21 128,0"
16.04,Evolution des risques du système financier (en millions de FBU), BRB,Crédits distribués,Crédits à court terme,Crédits de trésorerie,"200 869,4","253 824,5","366 392,0","402 197,3","394 176,7","429 689,3","291 116,6","402 330,6","452 262,2","539 121,5"
16.04,Evolution des risques du système financier (en millions de FBU), BRB,Crédits distribués,Crédits à moyen terme,"","110 708,6","142 867,5","156 091,0","183 667,0","209 026,1","213 106,0","180 128,0","195 807,8","198 136,9","253 680,4"
16.04,Evolution des risques du système financier (en millions de FBU), BRB,Crédits distribués,Crédits à moyen terme,Habitat,"15 338,8","25 050,4","29 936,7","32 498,1","27 106,9","20 459,5","17 564,2","21 756,2","24 281,9","24 595,3"
16.04,Evolution des risques du système financier (en millions de FBU), BRB,Crédits distribués,Crédits à moyen terme,Equipement,"95 369,2","117 817,0","126 154,3","151 168,9","181 919,2","192 646,5","162 563,8","174 051,6","173 855,0","229 085,1"
16.04,Evolution des risques du système financier (en millions de FBU), BRB,Crédits distribués,Crédits à long terme,"","9 194,8","13 712,3","24 627,6","37 408,0","52 981,3","104 548,1","116 542,0","121 013,8","148 156,3","174 651,4"
