id_tableau,titre_tableau,source,categorie,sous-categorie,designations,2010,2011,2012,2013,2014,2015,2016,2017
17.01,Produit intérieur Brut selon l’optique production (en milliards de Fbu).,ISTEEBU,En valeur courante,(1) Production,Production,3903,4059,5025,6214,6945,7121,7642,8484
17.01,Produit intérieur Brut selon l’optique production (en milliards de Fbu).,ISTEEBU,En valeur courante,(1) Production,Production informelle,2289,2553,3175,4237,4663,4631,5065,0
17.01,Produit intérieur Brut selon l’optique production (en milliards de Fbu).,ISTEEBU,En valeur courante,(2) Consommations intermédiaires,Consommations intermédiaires,1576,1725,2376,3046,3379,3352,3546,3912
17.01,Produit intérieur Brut selon l’optique production (en milliards de Fbu).,ISTEEBU,En valeur courante,(2) Consommations intermédiaires,Consommations intermédiaires informelle,867,1031,1508,2185,2450,2346,2435,0
17.01,Produit intérieur Brut selon l’optique production (en milliards de Fbu).,ISTEEBU,En valeur courante,(3) Valeur ajoutée (1) – (2),Valeur ajoutée,2067,2333,2649,3168,3566,3769,4096,4572
17.01,Produit intérieur Brut selon l’optique production (en milliards de Fbu).,ISTEEBU,En valeur courante,(3) Valeur ajoutée (1) – (2),Valeur ajoutée informelle,1421,1522,1667,2052,2213,2285,2630,0
17.01,Produit intérieur Brut selon l’optique production (en milliards de Fbu).,ISTEEBU,En valeur courante,(4) Impôts et taxes,Impôts et taxes,229,269,295,354,408,399,463,481
17.01,Produit intérieur Brut selon l’optique production (en milliards de Fbu).,ISTEEBU,En valeur courante,PIB (3) + (4),PIB,2295,2602,2944,3522,3974,4168,4559,5053
17.01,Produit intérieur Brut selon l’optique production (en milliards de Fbu).,ISTEEBU,En volume au prix de l'année précedente,(1) Production,Production,3643,4059,5025,6214,6945,7121,7642,8484
17.01,Produit intérieur Brut selon l’optique production (en milliards de Fbu).,ISTEEBU,En volume au prix de l'année précedente,(1) Production,Production informelle,2289,2553,3175,4237,4663,4631,5065,0
