id_tableau,titre_tableau,source,categorie,Libellés,2010,2011,2012,2013,2014,2015,2016,2017,2018
17.03,Evolution de la Valeur Ajoutée du secteur primaire (en milliards de Fbu),ISTEEBU,A prix courants,Produit de l'agriculture vivrière,732.9,844.6,948.6,1287,1250,1348,1465,1730.6,""
17.03,Evolution de la Valeur Ajoutée du secteur primaire (en milliards de Fbu),ISTEEBU,A prix courants,Produit de l'agriculture d'exportation,103.5,59.1,101.3,72.9,94.4,83,80.4,95.3,""
17.03,Evolution de la Valeur Ajoutée du secteur primaire (en milliards de Fbu),ISTEEBU,A prix courants,Produit de l'élevage,91.9,93.6,94.7,50,59.3,57.2,101.5,154.6,""
17.03,Evolution de la Valeur Ajoutée du secteur primaire (en milliards de Fbu),ISTEEBU,A prix courants,Autres produits des activités du primaire,32.9,37.6,47.5,52.9,59.4,69,76.9,93.1,""
17.03,Evolution de la Valeur Ajoutée du secteur primaire (en milliards de Fbu),ISTEEBU,A prix courants,Total VA,861.2,1034.9,1192.2,1462.7,1463,1557.2,1723.8,2073.6,""
17.03,Evolution de la Valeur Ajoutée du secteur primaire (en milliards de Fbu),ISTEEBU,A Prix constants de l'année précédente,Produit de l'agriculture vivrière,627.4,764.4,853.48,1141.91,1222.14,1213.46,1.375.486,1.465.433,""
17.03,Evolution de la Valeur Ajoutée du secteur primaire (en milliards de Fbu),ISTEEBU,A Prix constants de l'année précédente,Produit de l'agriculture d'exportation,74,47.8,72.91,57.7,80.65,109.11,67,86,""
17.03,Evolution de la Valeur Ajoutée du secteur primaire (en milliards de Fbu),ISTEEBU,A Prix constants de l'année précédente,Produit de l'élevage,88,92.2,94.49,49.05,55.31,59.63,78,124,""
17.03,Evolution de la Valeur Ajoutée du secteur primaire (en milliards de Fbu),ISTEEBU,A Prix constants de l'année précédente,Autres produits des activités du primaire,30.9,32.3,36.66,44,57.62,59.3,78,84.68,""
17.03,Evolution de la Valeur Ajoutée du secteur primaire (en milliards de Fbu),ISTEEBU,A Prix constants de l'année précédente,Total VA,820.3,936.7,1057.5,1292.7,1415.7,1441.5,1598.8,1760.4,""
