id_tableau,titre_tableau,source,categorie,sous-categorie,Libellés,2010,2011,2012,2013,2014,2015,2016,2017
17.07,"Emplois du PIB (en milliards de Fbu, prix constants)",ISTEEBU,(1) Consommation finale,Consommation finale,Consommation finale,2415.4,2825,3195.7,4037.7,4518,4520.9,4826.1,5320.1
17.07,"Emplois du PIB (en milliards de Fbu, prix constants)",ISTEEBU,(1) Consommation finale,Consommation finale,Consommation finale Ménage,1885,2199.1,2479.5,3123.6,3508.1,3452.5,3703.4,4066.4
17.07,"Emplois du PIB (en milliards de Fbu, prix constants)",ISTEEBU,(1) Consommation finale,Consommation finale,Consommation finale Administrations publiques,432.5,507.9,598,770,800.1,841.5,844.7,953.5
17.07,"Emplois du PIB (en milliards de Fbu, prix constants)",ISTEEBU,(1) Consommation finale,Consommation finale,Consommation finale ISBLs,97.9,118.1,118.2,144.1,209.8,226.9,278,300.2
17.07,"Emplois du PIB (en milliards de Fbu, prix constants)",ISTEEBU,(2) Investissement : (21) + (22),Investissement,Investissements,409.9,439.9,488.5,556.2,544.8,586.5,657.3,740.8
17.07,"Emplois du PIB (en milliards de Fbu, prix constants)",ISTEEBU,(2) Investissement : (21) + (22),Investissement,Investissements:Formation brute de capitale fixe,393.7,416.7,448.3,512,551.7,530.7,571.8,671.4
17.07,"Emplois du PIB (en milliards de Fbu, prix constants)",ISTEEBU,(2) Investissement : (21) + (22),Investissement,Investissements:Formation brute de capitale fixe-Privé,210.8,217.1,266,313.3,353.3,365.8,430.1,561.2
17.07,"Emplois du PIB (en milliards de Fbu, prix constants)",ISTEEBU,(2) Investissement : (21) + (22),Investissement,Investissements:Formation brute de capitale fixe-Publique,182.9,199.6,182.3,198.7,198.5,165,141.7,110.2
17.07,"Emplois du PIB (en milliards de Fbu, prix constants)",ISTEEBU,(2) Investissement : (21) + (22),Variations des stocks,Variations des stocks,16.2,23.2,40.1,44.2,-7,55.8,85.5,69.4
17.07,"Emplois du PIB (en milliards de Fbu, prix constants)",ISTEEBU,(3) Exportation nette (31) – (32),Exportation nette,Exportation nette,-529.9,-663,-740,-1072.2,-1088.7,-939.3,-924.1,-1008.5
17.07,"Emplois du PIB (en milliards de Fbu, prix constants)",ISTEEBU,(3) Exportation nette (31) – (32),(31) Exportations,Exportations,213.3,229.2,344.2,314.2,334.1,290.1,297.8,386.3
17.07,"Emplois du PIB (en milliards de Fbu, prix constants)",ISTEEBU,(3) Exportation nette (31) – (32),(32) Importations,Importations,743.2,892.1,1084.2,1386.4,1422.9,1229.5,1221.9,1394.8
17.07,"Emplois du PIB (en milliards de Fbu, prix constants)",ISTEEBU,PIB = (1) + (2) + (3),PIB,PIB,2295.4,2602,2944.2,3521.8,3974,4168,4559.2,5052.5
