id_tableau,titre_tableau,source,categorie,sous-categorie,Libellés,2010,2011,2012,2013,2014,2015,2016
17.08,Structure de la consommation des produits alimentaires (en %),ISTEEBU,Produits vivriers,"",Tubercules et bananes légumes,26.2,26.7,19.1,26.1,24.5,21.7,21
17.08,Structure de la consommation des produits alimentaires (en %),ISTEEBU,Produits vivriers,"",Légumineuses,11.3,14.6,14,12,12.5,11.8,12.7
17.08,Structure de la consommation des produits alimentaires (en %),ISTEEBU,Produits vivriers,"",Autres,7.3,9.1,8.1,7.6,6.6,7,6.7
17.08,Structure de la consommation des produits alimentaires (en %),ISTEEBU,Thé,"",Thé,0.2,0.1,0.2,0.1,0.2,0.1,0.5
17.08,Structure de la consommation des produits alimentaires (en %),ISTEEBU,Produits de l'élevage,"",Produits de l'élevage,4.2,2.7,5.8,3,2.1,3.2,1
17.08,Structure de la consommation des produits alimentaires (en %),ISTEEBU,Produits de la pêche,"",Produits de la pêche,2.5,2.2,2.4,1.8,2.1,2.4,2.7
17.08,Structure de la consommation des produits alimentaires (en %),ISTEEBU,Produits des industries alimentaires,"",Boissons alcoolisées,22.2,21.9,20.6,21.3,25,25,23.9
17.08,Structure de la consommation des produits alimentaires (en %),ISTEEBU,Produits des industries alimentaires,"",Farines et autres produits à base de céréales,13.8,12.6,17.2,19.4,16.6,17.3,19.4
17.08,Structure de la consommation des produits alimentaires (en %),ISTEEBU,Produits des industries alimentaires,"","Viandes , produits à base de viande, poissons sechés, fumés",4.6,3.7,4,2.8,3.8,5.9,6.2
17.08,Structure de la consommation des produits alimentaires (en %),ISTEEBU,Produits des industries alimentaires,"","Produits à base de fruits et légumes, à base du lait et autres boissons non
alccolisees",2.2,2.3,2.1,1.7,1.8,1.5,1.5
17.08,Structure de la consommation des produits alimentaires (en %),ISTEEBU,Produits des industries alimentaires,"",Autres,11.5,10.2,12.6,4.3,4.8,4.2,4.6
17.08,Structure de la consommation des produits alimentaires (en %),ISTEEBU,Total,"",Total,100,100,100,100,100,100,100
