id_tableau,titre_tableau,source,categorie,Libellés,2009,2010,2011,2012,2013,2014,2015,2016
17.10,Structure des importations (en milliards de Fbu),ISTEEBU,Produits,Produits manufacturiers,408.3,554.7,589.5,730.1,755.1,886,685.8,805.7
17.11,Structure des importations (en milliards de Fbu),ISTEEBU,Produits,Activités extraterritoriales,96.8,39,68.8,69.2,92.7,120.3,46.1,101.3
17.12,Structure des importations (en milliards de Fbu),ISTEEBU,Produits,Produits agroalimentaires,47.3,59.9,32.3,112,91.1,106.3,67.4,106
17.13,Structure des importations (en milliards de Fbu),ISTEEBU,Produits,Transport et communication,57.7,49.9,161.8,54.8,330.1,121.7,112,111.3
17.14,Structure des importations (en milliards de Fbu),ISTEEBU,Produits,Services marchands,11.3,26.7,35.1,41,37.6,40.9,280.9,32
17.15,Structure des importations (en milliards de Fbu),ISTEEBU,Produits,Services d'assurances et financiers,3,2.4,3.3,1.6,4.1,11.5,16,6.9
17.16,Structure des importations (en milliards de Fbu),ISTEEBU,Produits,Produits agricoles,11.3,10.6,72.7,130.1,118,142.6,56.6,53.1
17.17,Structure des importations (en milliards de Fbu),ISTEEBU,Produits,Energie et mines,0.5,0.9,0.3,1,1.7,3.9,6.6,5.7
17.18,Structure des importations (en milliards de Fbu),ISTEEBU,Produits,Construction,0.3,0.1,0.4,0.2,0.1,3.3,3.1,2.7
17.19,Structure des importations (en milliards de Fbu),ISTEEBU,Produits,TOTAL,636.7,744.2,964.3,1140,1430.5,1436.5,1274.7,1224.7
