id_tableau,titre_tableau,source,province,institution_financiere,2014,2015,2016,2017,2018
18.10,Nombre d'agences des institutions financières par province,BRB,Bubanza,Banque centrale,0,0,0,0,0
18.10,Nombre d'agences des institutions financières par province,BRB,Bubanza,Banque Commerciale,2,2,1,1,2
18.10,Nombre d'agences des institutions financières par province,BRB,Bubanza,Microfinance,12,13,14,10,15
18.10,Nombre d'agences des institutions financières par province,BRB,Bujumbura,Banque centrale,0,0,0,0,""
18.10,Nombre d'agences des institutions financières par province,BRB,Bujumbura,Banque Commerciale,1,1,1,1,4
18.10,Nombre d'agences des institutions financières par province,BRB,Bujumbura,Microfinance,13,13,13,7,12
18.10,Nombre d'agences des institutions financières par province,BRB,Bujumbura-Mairie,Banque centrale,1,1,1,1,1
18.10,Nombre d'agences des institutions financières par province,BRB,Bujumbura-Mairie,Banque Commerciale,51,45,43,50,95
18.10,Nombre d'agences des institutions financières par province,BRB,Bujumbura-Mairie,Microfinance,32,32,35,51,61
18.10,Nombre d'agences des institutions financières par province,BRB,Bururi,Banque centrale,0,0,0,0,0
18.10,Nombre d'agences des institutions financières par province,BRB,Bururi,Banque Commerciale,7,2,2,2,2
18.10,Nombre d'agences des institutions financières par province,BRB,Bururi,Microfinance,24,15,15,8,10
18.10,Nombre d'agences des institutions financières par province,BRB,Cankuzo,Banque centrale,0,0,0,0,0
18.10,Nombre d'agences des institutions financières par province,BRB,Cankuzo,Banque Commerciale,1,1,0,1,1
18.10,Nombre d'agences des institutions financières par province,BRB,Cankuzo,Microfinance,11,10,10,7,7
18.10,Nombre d'agences des institutions financières par province,BRB,Cibitoke,Banque centrale,0,0,0,0,0
18.10,Nombre d'agences des institutions financières par province,BRB,Cibitoke,Banque Commerciale,4,5,3,5,6
18.10,Nombre d'agences des institutions financières par province,BRB,Cibitoke,Microfinance,17,21,21,16,16
18.10,Nombre d'agences des institutions financières par province,BRB,Makamba,Banque centrale,0,0,0,0,0
18.10,Nombre d'agences des institutions financières par province,BRB,Makamba,Banque Commerciale,8,11,8,7,11
18.10,Nombre d'agences des institutions financières par province,BRB,Makamba,Microfinance,15,16,17,13,13
18.10,Nombre d'agences des institutions financières par province,BRB,Muramvya,Banque centrale,0,0,0,0,0
18.10,Nombre d'agences des institutions financières par province,BRB,Muramvya,Banque Commerciale,1,1,1,1,3
18.10,Nombre d'agences des institutions financières par province,BRB,Muramvya,Microfinance,16,15,15,7,7
18.10,Nombre d'agences des institutions financières par province,BRB,Muyinga,Banque centrale,0,0,0,0,0
18.10,Nombre d'agences des institutions financières par province,BRB,Muyinga,Banque Commerciale,6,7,7,7,8
18.10,Nombre d'agences des institutions financières par province,BRB,Muyinga,Microfinance,24,23,23,19,22
18.10,Nombre d'agences des institutions financières par province,BRB,Mwaro,Banque centrale,0,0,0,0,0
18.10,Nombre d'agences des institutions financières par province,BRB,Mwaro,Banque Commerciale,1,1,1,1,1
18.10,Nombre d'agences des institutions financières par province,BRB,Mwaro,Microfinance,15,14,14,9,9
18.10,Nombre d'agences des institutions financières par province,BRB,Ngozi,Banque centrale,1,1,1,1,1
18.10,Nombre d'agences des institutions financières par province,BRB,Ngozi,Banque Commerciale,8,9,9,8,10
18.10,Nombre d'agences des institutions financières par province,BRB,Ngozi,Microfinance,28,29,29,24,27
18.10,Nombre d'agences des institutions financières par province,BRB,Gitega,Banque centrale,1,1,1,1,1
18.10,Nombre d'agences des institutions financières par province,BRB,Gitega,Banque Commerciale,9,9,8,7,10
18.10,Nombre d'agences des institutions financières par province,BRB,Gitega,Microfinance,25,26,26,29,21
18.10,Nombre d'agences des institutions financières par province,BRB,Kayanza,Banque centrale,0,0,0,0,0
18.10,Nombre d'agences des institutions financières par province,BRB,Kayanza,Banque Commerciale,6,6,4,5,6
18.10,Nombre d'agences des institutions financières par province,BRB,Kayanza,Microfinance,27,26,26,19,19
18.10,Nombre d'agences des institutions financières par province,BRB,Karuzi,Banque centrale,0,0,0,0,0
18.10,Nombre d'agences des institutions financières par province,BRB,Karuzi,Banque Commerciale,2,2,1,2,3
18.10,Nombre d'agences des institutions financières par province,BRB,Karuzi,Microfinance,16,16,16,10,9
18.10,Nombre d'agences des institutions financières par province,BRB,Kirundo,Banque centrale,0,0,0,0,0
18.10,Nombre d'agences des institutions financières par province,BRB,Kirundo,Banque Commerciale,3,3,3,3,3
18.10,Nombre d'agences des institutions financières par province,BRB,Kirundo,Microfinance,20,20,20,13,14
18.10,Nombre d'agences des institutions financières par province,BRB,Rumonge,Banque centrale,-,0,0,0,0
18.10,Nombre d'agences des institutions financières par province,BRB,Rumonge,Banque Commerciale,-,6,6,4,5
18.10,Nombre d'agences des institutions financières par province,BRB,Rumonge,Microfinance,-,13,13,14,13
18.10,Nombre d'agences des institutions financières par province,BRB,Rutana,Banque centrale,0,0,0,0,0
18.10,Nombre d'agences des institutions financières par province,BRB,Rutana,Banque Commerciale,2,2,2,2,3
18.10,Nombre d'agences des institutions financières par province,BRB,Rutana,Microfinance,14,12,12,6,6
18.10,Nombre d'agences des institutions financières par province,BRB,Ruyigi,Banque centrale,0,0,0,0,0
18.10,Nombre d'agences des institutions financières par province,BRB,Ruyigi,Banque Commerciale,4,4,3,4,4
18.10,Nombre d'agences des institutions financières par province,BRB,Ruyigi,Microfinance,14,13,13,8,7
