id_tableau,titre_tableau,source,province,institution_financiere,2010,2011,2012,2013,2014,2015,2016,2017,2018
18.13,Quelques renseignements sur les établissements financiers,BRB,"",Capital social pour les banques(en million),123566,147619,265487,340025,339823,447205,521403,-,10000
18.13,Quelques renseignements sur les établissements financiers,BRB,"",Capital social pour les microfinances,"","","","",19001,14336,20506,18224,28102
18.13,Quelques renseignements sur les établissements financiers,BRB,"",Dépots reçus pour les banques(en millions de BIF),499798,518920,1044757,609486,680391,716435,-,-,1510330
18.13,Quelques renseignements sur les établissements financiers,BRB,"",Dépots reçus pour les microfinances,70854,93641,88572,97680,127429,111211,126745,164388,190908
18.13,Quelques renseignements sur les établissements financiers,BRB,"",Nombre de crédit octroyés par les banques,"","","","","","","","",111194
18.13,Quelques renseignements sur les établissements financiers,BRB,"",Nombre de crédit octroyés par les microfinances,"","","","","",155311,305118,214934,315405
18.13,Quelques renseignements sur les établissements financiers,BRB,"",Montant de crédit octroyés par les banques(en millions de BIF),513345,625601,667504,766043,899390,969537,1149099,-,939209
18.13,Quelques renseignements sur les établissements financiers,BRB,"",Montant de crédit octroyés par les microfinances,44207,60416,63487,81051,103315,114628,142828,184360,225469
18.13,Quelques renseignements sur les établissements financiers,BRB,"",Nombre de compte courants ouvert dans les banques,"","","","","","","","",383278
18.13,Quelques renseignements sur les établissements financiers,BRB,"",Nombre de compte courants ouverts dans les microfinances,"","","","",731036,729547,963736,796191,727478
18.13,Quelques renseignements sur les établissements financiers,BRB,"",Nombre de client des institutions financières,"","","","","","","","",""
18.13,Quelques renseignements sur les établissements financiers,BRB,"",Nombre des institutions financières qui font des transferts par telephonie,"","","","","",9,9,"",2
18.13,Quelques renseignements sur les établissements financiers,BRB,"",Nombre des institutions financières qui font des transferts électroniques,"","","","","","","","",""
18.13,Quelques renseignements sur les établissements financiers,BRB,"",Nombre des institutions financières qui disposent des cartes visa,"","","","",4,4,4,"",3
18.13,Quelques renseignements sur les établissements financiers,BRB,"",Nombre des banques qui disposent les DAB,"","","","",4,6,6,"",6
