id_tableau,titre_tableau,source,categorie,2014,2015,2016
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,Parquet Général de la République,180,236,135
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,Parquet Général près la CA de BUJUMBURA,485,160,154
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES TGI Bujumbura Mairie,211,121,41
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES TGI Bujumbura Rural,37,29,47
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES TGI Bubanza,80,62,138
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES TGI Cibitoke,55,35,35
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES TGI Muha,-,-,5
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES Mukaza,-,-,44
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES Muramvya,45,56,54
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES Mwaro,84,47,69
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES Ntahangwa,-,-,36
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,Parquet Général près la CA de Gitega,60,18,30
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES TGI Gitega,56,51,73
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES TGI Cankuzo,40,27,37
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES TGI Karusi,120,93,112
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES TGI Ruyigi,35,20,10
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,Parquet Général près la CA de Ngozi,57,32,35
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES TGI Ngozi,148,128,152
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES TGI Kayanza,160,128,76
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES TGI Kirundo,79,63,53
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES TGI Muyinga,74,87,71
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,Parquet Général près la CA de Bururi,0,8,23
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES TGI Bururi,27,31,7
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES TGI Makamba,94,58,82
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES TGI Rutana,32,35,37
19.06,Nombre de dossier ouvert pour les instructions restant à la fin de l'année,Ministère de la Justice,PQ PRES TGI Rumonge,-,-,17
