id_tableau,titre_tableau,source,categorie,2013,2014,2015,2016,2017,2018
19.13,Evolution du nombre de détenus specifique par prison,Ministère de la Justice,Prison de Mpimba,2254,2649,3009,3473,"",""
19.13,Evolution du nombre de détenus specifique par prison,Ministère de la Justice,Prison de Bubanza,292,185,280,353,"",""
19.13,Evolution du nombre de détenus specifique par prison,Ministère de la Justice,Prison de Bururi,226,221,237,270,"",""
19.13,Evolution du nombre de détenus specifique par prison,Ministère de la Justice,Prison de Rumonge,746,608,976,1177,"",""
19.13,Evolution du nombre de détenus specifique par prison,Ministère de la Justice,Prison de Muramvya,434,381,609,628,"",""
19.13,Evolution du nombre de détenus specifique par prison,Ministère de la Justice,Prison de Gitega,1016,768,792,931,"",""
19.13,Evolution du nombre de détenus specifique par prison,Ministère de la Justice,Prison de Rutana,250,296,290,291,"",""
19.13,Evolution du nombre de détenus specifique par prison,Ministère de la Justice,Prison de Ruyigi,583,531,701,596,"",""
19.13,Evolution du nombre de détenus specifique par prison,Ministère de la Justice,Prison de Ngozi (Homme),1466,1343,147,1450,"",""
19.13,Evolution du nombre de détenus specifique par prison,Ministère de la Justice,Prison de Ngozi (Femme),90,117,98,94,"",""
