id_tableau,titre_tableau,source,categorie,sous_categorie,2002,2006,2008,2014
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bubanza,3077,1213,4365,1174
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bujumbura,3557,1645,5909,2490
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bururi,9252,576,3767,1573
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Cankuzo,75,107,1253,72
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Cibitoke,1360,1276,4944,1022
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Gitega,573,1871,3673,1980
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Karusi,1104,220,1288,404
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Kayanza,1097,1204,3132,3743
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Kirundo,2434,1266,4405,3143
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Makamba,459,1179,3075,1844
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Muramvya,990,165,1834,24
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Mwaro,614,154,1147,444
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Muyinga,833,441,4351,1193
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Ngozi,661,886,5115,2141
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Rutana,2412,158,1643,384
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Ruyigi,1209,457,3296,29
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bujumbura Mairie,5586,3689,6519,7477
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Burundi,Urbain,-,3782,9414,10389
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Burundi,Rural,-,11758,50445,18749
2.04,Nombre de ménages logés gratuitement par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Burundi,Ensemble,34560,19371,58994,29138
