id_tableau,titre_tableau,source,province,2016,2017
20.01,Effectif de la police par province,MSP,Bubanza,304,290
20.01,Effectif de la police par province,MSP,Bujumbura Mairie,"1,528","1,627"
20.01,Effectif de la police par province,MSP,Bujumbura,427,484
20.01,Effectif de la police par province,MSP,Bururi,427,401
20.01,Effectif de la police par province,MSP,Cankuzo,315,289
20.01,Effectif de la police par province,MSP,Cibitoke,351,434
20.01,Effectif de la police par province,MSP,Gitega,696,815
20.01,Effectif de la police par province,MSP,Karusi,301,265
20.01,Effectif de la police par province,MSP,Kayanza,436,433
20.01,Effectif de la police par province,MSP,Kirundo,486,482
20.01,Effectif de la police par province,MSP,Makamba,664,713
20.01,Effectif de la police par province,MSP,Muramvya,314,307
20.01,Effectif de la police par province,MSP,Muyinga,642,617
20.01,Effectif de la police par province,MSP,Mwaro,292,289
20.01,Effectif de la police par province,MSP,Ngozi,685,725
20.01,Effectif de la police par province,MSP,Rumonge,417,452
20.01,Effectif de la police par province,MSP,Rutana,460,474
20.01,Effectif de la police par province,MSP,Ruyigi,371,395
20.01,Effectif de la police par province,MSP,Total CP,"9,116","9,492"
20.01,Effectif de la police par province,MSP,Adm Centralisé et US,"5,837","6,548"
20.01,Effectif de la police par province,MSP,Total en activité,"14,953","16,040"
