id_tableau,titre_tableau,source,Infraction,2013,2014,2015,2016,2017,2018
20.02,Infractions au code pénal enregistrées par la Police,MSP,Abandon de famille,22,26,5,16,-,-
20.02,Infractions au code pénal enregistrées par la Police,MSP,Abus de confiance (T2 C2 S3),721,798,624,"2,664","3,553","2,492"
20.02,Infractions au code pénal enregistrées par la Police,MSP,Adultère,35,31,25,13,29,-
20.02,Infractions au code pénal enregistrées par la Police,MSP,Assassinat (T1 C3 S1),272,271,286,402,538,336
20.02,Infractions au code pénal enregistrées par la Police,MSP,Association de malfaiteurs (T7 C1),8,7,3,52,38,35
20.02,Infractions au code pénal enregistrées par la Police,MSP,Atteinte à la sûreté Intérieur de l'Etat,35,43,123,28,10,-
20.02,Infractions au code pénal enregistrées par la Police,MSP,Attentat à la pudeur (T8 C2 S2),5,121,45,31,76,-
20.02,Infractions au code pénal enregistrées par la Police,MSP,Avortement (T8 C1 S1),52,59,35,70,128,79
20.02,Infractions au code pénal enregistrées par la Police,MSP,Aversion Raciale,50,94,131,123,-,-
20.02,Infractions au code pénal enregistrées par la Police,MSP,Banqueroute,5,4,"","",-,""
20.02,Infractions au code pénal enregistrées par la Police,MSP,Blanchiment d'argent (T6 C2 S2 SS8),-,"",1,30,15,10
20.02,Infractions au code pénal enregistrées par la Police,MSP,Concubinage,31,13,12,"",-,""
20.02,Infractions au code pénal enregistrées par la Police,MSP,"Contrefaçon des sceaux, timbres, poinçons ou autres marques de
l'autorité (T3 C1)","","","",32,25,18
20.02,Infractions au code pénal enregistrées par la Police,MSP,"Contrefaçon, falsification et imitation des signes monétaires (T3 C1)",7,4,2,51,50,""
20.02,Infractions au code pénal enregistrées par la Police,MSP,Corruption active,16,7,1,17,3,6
20.02,Infractions au code pénal enregistrées par la Police,MSP,Corruption passive,-,-,-,-,12,11
20.02,Infractions au code pénal enregistrées par la Police,MSP,Délit de fuite,4,3,3,7,-,-
20.02,Infractions au code pénal enregistrées par la Police,MSP,Dénonciation calomnieuse,39,47,27,18,-,-
20.02,Infractions au code pénal enregistrées par la Police,MSP,"Destruction et dégradation d'arbres, récoltes ou autres propriétés  (T2
C3 S3)",951,"1,054",811,"1,195","1,700","1,147"
20.02,Infractions au code pénal enregistrées par la Police,MSP,Détention illégale d'arme à feu,80,62,107,93,-,-
20.02,Infractions au code pénal enregistrées par la Police,MSP,Détournement de gage ou d'objet saisi (T2 C1 S3),35,8,3,nd,34,29
20.02,Infractions au code pénal enregistrées par la Police,MSP,Effets sans provisions (T2 C2 S12),42,43,22,31,69,49
20.02,Infractions au code pénal enregistrées par la Police,MSP,Empoisonnement (T1 C3 S1),61,58,29,101,279,291
20.02,Infractions au code pénal enregistrées par la Police,MSP,Enlèvement (T1 C6 S2),71,79,57,216,209,177
20.02,Infractions au code pénal enregistrées par la Police,MSP,"Enlèvement, déplacement ou dépassement des bornes (T2 C3 S5)",226,246,135,695,564,524
20.02,Infractions au code pénal enregistrées par la Police,MSP,Enrichissement illicite (T6 C2 S2 SS5),-,-,-,56,65,5
20.02,Infractions au code pénal enregistrées par la Police,MSP,Epreuve superstitieuse,27,31,10,19,-,-
20.02,Infractions au code pénal enregistrées par la Police,MSP,Escroquerie (T2 C2 S7 §1),538,527,381,"1,114","1,508","1,218"
20.02,Infractions au code pénal enregistrées par la Police,MSP,Évasion des détenus (T7 C5 S1),32,31,27,130,130,104
20.02,Infractions au code pénal enregistrées par la Police,MSP,Extorsion (T2 C1 S4),385,406,306,603,731,742
20.02,Infractions au code pénal enregistrées par la Police,MSP,Faux et usage de faux,121,153,126,177,-,-
20.02,Infractions au code pénal enregistrées par la Police,MSP,Faux témoignages,5,6,3,7,-,-
20.02,Infractions au code pénal enregistrées par la Police,MSP,Harcèlement sexuel (T8 C2 S4),22,41,20,41,57,53
