id_tableau,titre_tableau,source,province,Sexe de l'auteur,2013,2014,2015,2016,2017
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Bubanza,Femme,75,126,57,212,171
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,"",Total,"1,295","1,519",992,"1,936",993
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Bujumbura,Femme,106,97,27,314,167
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,"",Total,"1,421","1,284",487,"2,104","1,171"
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Bururi,Femme,80,108,30,92,186
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,"",Total,"1,136","1,515",623,"1,215","1,333"
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Cankuzo,Femme,43,71,35,152,208
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,"",Total,792,"1,004",871,957,"1,154"
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Cibitoke,Femme,50,83,57,35,81
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,"",Total,903,"1,083",739,549,823
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Gitega,Femme,93,190,118,232,397
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,"",Total,"1,530","1,680","1,348","1,450","1,939"
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Karusi,Femme,54,73,54,22,78
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,"",Total,725,745,752,441,779
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Kayanza,Femme,67,118,70,191,215
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,"",Total,909,"1,257","1,042","1,859","1,920"
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Kirundo,Femme,65,48,36,49,59
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,"",Total,"1,058",935,711,"1,745",603
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Makamba,Femme,86,146,71,118,142
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,"",Total,"1,262","1,452","1,113","1,312","1,166"
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Muramvya,Femme,40,66,29,74,63
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,"",Total,817,935,647,543,478
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Muyinga,Femme,60,85,38,29,215
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,"",Total,"1,032","1,037",717,841,"1,209"
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Mwaro,Femme,59,109,43,81,83
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,"",Total,982,"1,077",768,958,539
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Ngozi,Femme,48,82,69,110,281
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,"",Total,"1,051","1,208",998,"1,679","1,662"
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Rumonge,Femme,-,-,114,118,44
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,"",Total,-,-,"1,480",632,417
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Rutana,Femme,34,56,25,143,222
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,"",Total,768,783,500,"1,664","1,807"
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Ruyigi,Femme,46,51,59,23,79
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,"",Total,765,990,"1,076",246,564
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Mairie,Femme,295,320,149,667,597
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Total,Total,"3,351","3,492","2,187","4,122","4,105"
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Total,Femme,"1,301","1,829","1,081","2,662","3,288"
20.04,Répartition des auteurs d’infractions par province et par sexe,MSP,Total,Total,"19,797","21,996","17,051","24,253","22,662"
