id_tableau,titre_tableau,source,province,2014,2015,2016,2017,2018
20.06,Evolution du nombre de personnes placées sous la garde à vue par province,MSP,Bubanza,141,804,"1,936","2,291","1,157"
20.06,Evolution du nombre de personnes placées sous la garde à vue par province,MSP,Bujumbura,779,447,"2,103","1,248",598
20.06,Evolution du nombre de personnes placées sous la garde à vue par province,MSP,Bururi,648,833,"1,215","1,191","1,076"
20.06,Evolution du nombre de personnes placées sous la garde à vue par province,MSP,Cankuzo,409,517,957,"1,135",410
20.06,Evolution du nombre de personnes placées sous la garde à vue par province,MSP,Cibitoke,514,469,549,515,324
20.06,Evolution du nombre de personnes placées sous la garde à vue par province,MSP,Gitega,"1,025",990,"1,450","1,438",750
20.06,Evolution du nombre de personnes placées sous la garde à vue par province,MSP,Karuzi,356,501,440,515,"1,014"
20.06,Evolution du nombre de personnes placées sous la garde à vue par province,MSP,Kayanza,186,369,"1,859","1,327",654
20.06,Evolution du nombre de personnes placées sous la garde à vue par province,MSP,Kirundo,169,284,"1,744","1,019",727
20.06,Evolution du nombre de personnes placées sous la garde à vue par province,MSP,Makamba,"1,099","2,947","1,312",736,605
