id_tableau,titre_tableau,source,poste,categorie,2015,2016,2017,2018
20.08,Statistiques sur les mouvements transfrontaliers des personnes,MSP,Aéroport,Entrées,50 058,46272,36884,70190
20.08,Statistiques sur les mouvements transfrontaliers des personnes,MSP,Aéroport,Sorties,56 484,45556,63446,61309
20.08,Statistiques sur les mouvements transfrontaliers des personnes,MSP,Aéroport,Expulsés et refoulés burundais,0,16,263,32
20.08,Statistiques sur les mouvements transfrontaliers des personnes,MSP,Aéroport, Expulsés et refoulés,-,252,298,16
20.08,Statistiques sur les mouvements transfrontaliers des personnes,MSP,Aéroport,Rapatriés,-,0,97,206
20.08,Statistiques sur les mouvements transfrontaliers des personnes,MSP,Aéroport,Refus de voyager,-,56,124,11
20.08,Statistiques sur les mouvements transfrontaliers des personnes,MSP,Aéroport,Touristes,-,0,21235,75749
20.08,Statistiques sur les mouvements transfrontaliers des personnes,MSP,Aéroport,TOTAL,106 542,92 152,122 347,207 513
20.08,Statistiques sur les mouvements transfrontaliers des personnes,MSP,Ruhwa,Entrées,44 588,72 627,34 015,106 154
20.08,Statistiques sur les mouvements transfrontaliers des personnes,MSP,Ruhwa,Sorties,45 316,77 856,65 712,84 238
