id_tableau,titre_tableau,source,pays,poste frontiere,categorie,2016,2017,2018
20.09,Statistiques des ressortissants de la Communauté Est Africaine,MSP,Burundi,Aéroport,Entrées,27 972,24 116,29 995
20.09,Statistiques des ressortissants de la Communauté Est Africaine,MSP,Burundi,Aéroport,Sorties,24 214,23 873,30 640
20.09,Statistiques des ressortissants de la Communauté Est Africaine,MSP,Burundi,port,Entrées,1 128,1 384,2 058
20.09,Statistiques des ressortissants de la Communauté Est Africaine,MSP,Burundi,port,Sorties,1 159,1 562,1 760
20.09,Statistiques des ressortissants de la Communauté Est Africaine,MSP,Burundi,Gatumba,Entrées,16 917,19 091,25 306
20.09,Statistiques des ressortissants de la Communauté Est Africaine,MSP,Burundi,Gatumba,Sorties,52 338,29 556,28 003
20.09,Statistiques des ressortissants de la Communauté Est Africaine,MSP,Burundi,Vugizo,Entrées,245,324,647
20.09,Statistiques des ressortissants de la Communauté Est Africaine,MSP,Burundi,Vugizo,Sorties,327,1 061,982
20.09,Statistiques des ressortissants de la Communauté Est Africaine,MSP,Burundi,Ruhwa,Entrées,19 071,11 320,22 092
20.09,Statistiques des ressortissants de la Communauté Est Africaine,MSP,Burundi,Ruhwa,Sorties,24 530,13 010,28 879
