id_tableau,titre_tableau,source,categorie,sous_categorie,2016,2017
20.11,Véhicules contrevenants au code de la route en Mairie de Bujumbura et amandes transigées,MSP,Véhicule de Transport des Personnes contrevenant au Code de la Route,Effectif,21 088,24 118
20.11,Véhicules contrevenants au code de la route en Mairie de Bujumbura et amandes transigées,MSP,Véhicule de Transport des Personnes contrevenant au Code de la Route, Amende (en Fbu),580 091 000,601 060 000
20.11,Véhicules contrevenants au code de la route en Mairie de Bujumbura et amandes transigées,MSP,Véhicule de Transport des Biens contrevenant au Code de la Route,Effectif,3 821,2 679
20.11,Véhicules contrevenants au code de la route en Mairie de Bujumbura et amandes transigées,MSP,Véhicule de Transport des Biens contrevenant au Code de la Route, Amende (en Fbu),123 909 000,109 469 000
20.11,Véhicules contrevenants au code de la route en Mairie de Bujumbura et amandes transigées,MSP,Motos Contrevenant au Code de la Route,Effectif,1 549,991
20.11,Véhicules contrevenants au code de la route en Mairie de Bujumbura et amandes transigées,MSP,Motos Contrevenant au Code de la Route, Amende (en Fbu),49 550 000,37 765 000
20.11,Véhicules contrevenants au code de la route en Mairie de Bujumbura et amandes transigées,MSP,Personnes Contrôlées en Etat d'Ivresse au Volant,Effectif,26,15
20.11,Véhicules contrevenants au code de la route en Mairie de Bujumbura et amandes transigées,MSP,Personnes Contrôlées en Etat d'Ivresse au Volant, Amende (en Fbu),1 300 000,750 000
20.11,Véhicules contrevenants au code de la route en Mairie de Bujumbura et amandes transigées,MSP,Constat d'accident de roulage,Effectif,801,1 447
20.11,Véhicules contrevenants au code de la route en Mairie de Bujumbura et amandes transigées,MSP,Constat d'accident de roulage, Amende (en Fbu),39 650 000,65 045 000
