id_tableau,titre_tableau,source,categorie,pays,ville,adresse,telephone,fax
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Etats Unis,New York,336east 45th Street 12 floor New York,12124990002,12124990006
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Etats Unis,Washington,"Wisconsin, avenu NW suite 212 Washington DC  20007 USA",12023422574,12023422578
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Brésil,Brasilia,"SHSQ121 Conjuto 1casa10-lagoSul-Brasilia -DF,CEP71655",0055-6132481814/005561324815,""
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Canada,Otawa,"325,Rue Dalhouse Street,Suite 815,Ottawa Ontario",16137890414,16137899537
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,France,Paris,"10-12, rue de l'Orme 75119 Paris",33145206061,33145200254
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Belgique,Bruxelles,Square Marie Louise46-100 Bruxelles,3222304453,3222307883
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Russie,Moscou,Ouspensky Percoulouk,74952302564,74952302009
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Pays Bas,LaHaye,"Cornegielaan 4-14,2517KHDen Haag Graven HAGUE","",""
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Suisse,Genève,"44,Rue de Lausanne 1201 Geneve",41227327705,41227327734
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Turquie,Ankara,"","",""
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Italie,Rome,"Via Carso Di Francia n°221-00191,Rome 2ème étage",390 636 381 786,39.063.6381171
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Royaume Uni,Londres,"Ouganda House, Second Floor 58-59 Trafagar Square, London WC2N 5DX",00 44 (0) 2079304958,""
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Allemagne,Berlin,Berliner Strasse 3610715 Berlin,49.302.3456700,49.302.2345670
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Chine,Béijing,"25, Guang Hua Lu, Beijing Chine",86.106.5321801,86.106.5322381
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Inde,New Delhi,"C-1/24,Vasant vihar New Delhi 110057 India",91-11-46151947,911-4950310827
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Arabie Saoudite,Riyad,"","",""
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Rwanda,Kigali,Boulevard de l'Umuganda,250 072 252 587 940,250 072 252 587 942
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,RDC,Kinshasa,Avenue Lubefu 28 Kinshasa -Gombe,255 282 802 865,""
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Tanzanie,Dar Es salam,"Plot 1007 Lugalo Road, Upanga East",255 222 127 007,255 222 127 009
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Ouganda,Kampala,"Hamilton Road, Plot 14smChambers Bld 1st Floor",256 414 235 850,256 414 235 845
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Kenya,Nairobi,Coop Trust Plazza of Bunyala Road Uppe Hill,25420310826,25420310827
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Zambia,Lusaka,"","",""
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Ethiopie,Addis Abeba,"Kirkos Sub City, K-03, N°047",251 114 651 300,251 114 650 299
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Afrique du Sud,Pretoria,20 glyn Street Cobyn 0083,27 123 424 881,27 123 424 881
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Nigeria,Abuja,"59 TY Danjuma Street, Asoko Abuja Nigeria",23493146041,234 946 601 510
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Egypte,Caire,27 rue El Ryad Street-Mohandersin Cairo -Egypte,2023024301,20233441997
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Maroc,Rabat,"","",""
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Tanzanie,Kigoma,P.O Box 130 Tanzania,255 282 802 865,255 280 802 499
21.01,Missions diplomatiques du Burundi à l'Etranger en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ambassades,Emirats Arabe Unis,Dubaî,"Al- Barshal, Street 22B, Villa 59,Plot 376-1966",971-435 42996,971-435 42995
