id_tableau,titre_tableau,source,categorie,pays,adresse,telephone,fax
21.02,Missions diplomatiques et consulaires accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Missions diplomatiques résidentes,"Etats-unis 
d'Amérique",Quartier Kigobe Sud,22207000,22222926
21.02,Missions diplomatiques et consulaires accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Missions diplomatiques résidentes,Belgique,"30, avenue du 18 septembre",22226176,22221004
21.02,Missions diplomatiques et consulaires accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Missions diplomatiques résidentes,Chine,Parcelle 675 Kiriri,22224307/22216856,22213735/22224082
21.02,Missions diplomatiques et consulaires accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Missions diplomatiques résidentes,France,"60, Boulevard de l'UPRONA",22203000,""
21.02,Missions diplomatiques et consulaires accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Missions diplomatiques résidentes,Rwanda,"Rohero I, Avenue de la RDC, N°24",22228755,22223254
21.02,Missions diplomatiques et consulaires accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Missions diplomatiques résidentes,RD Congo,"13, avenue de la RDC/Rohero",22226918,""
21.02,Missions diplomatiques et consulaires accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Missions diplomatiques résidentes,Egypte,"12, avenue Nzero, Kinindo",22223161,""
21.02,Missions diplomatiques et consulaires accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Missions diplomatiques résidentes,"Republique 
Unie de 
Tanzanie","Gihungwe, Avenue Mpotsa 1716 kabondo",22248636,22248637
21.02,Missions diplomatiques et consulaires accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Missions diplomatiques résidentes,Libye,"33,Avenue de la Revolution",22244871,22249096
21.02,Missions diplomatiques et consulaires accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Missions diplomatiques résidentes,Russie,"43, Boulevard de l'UPRONA",22226098,22243244
