id_tableau,titre_tableau,source,sigle,Organisme/Représentation,adresse,telephone
21.03,Organisations Internationales et autres représentations Etrangères accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,OMS,"Organisation Mondiale de la 
Santé,Bureau de la Représentation au 
Burundi",Blv de l'UPRONA,22231247/22231702
21.03,Organisations Internationales et autres représentations Etrangères accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,FAO,"Fond des Nations Unies pour l' Elevage et 
l'Agriculture",Q.Asiatique,22206002
21.03,Organisations Internationales et autres représentations Etrangères accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,ONUFEMMES,"Entité des Nations Unies pour l'Egalité 
des Sexes et l'autonomisation des 
Femmes",Avenue NGENDANDUMWE,222301300
21.03,Organisations Internationales et autres représentations Etrangères accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,UNHCR,"Organisation des Nations Unies pour les 
Refugiés","Avenue du Large, BP:307",22223245
21.03,Organisations Internationales et autres représentations Etrangères accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,PAM,Programme Alimentaire Mondial,"Avenue du Large, N°78",22214615
21.03,Organisations Internationales et autres représentations Etrangères accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,PNUD,"Programme des Nations Unies pour le 
Développement","Q. INSS,Avenue des Patriotes N°10, BP:1490 
Bujumbura",22205698/22301110
21.03,Organisations Internationales et autres représentations Etrangères accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,UNICEF,"Organisation des Nations Unies Pour 
l'Enfance","Kabondo, avenue Gitega BP:1650 Bujumbura",22202010/22202029
21.03,Organisations Internationales et autres représentations Etrangères accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,UNESCO,"Organsation des Nations Unies pour 
l'Education, la Science et la Culture","Boulevard de l'Uprona, B.P 1555 Bujumbura",22215382/22215384
21.03,Organisations Internationales et autres représentations Etrangères accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,ONUSIDA,"Programme des Nations Unies sur le 
VIH/SIDA","Avevue du Large, Building du PAM,BP 1490 
Bujumbura,www.unaids.org",22218112
21.03,Organisations Internationales et autres représentations Etrangères accréditées à Bujumbura en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,UNFPA,"Fond des Nations Unies pour la 
Population","Kabondo Ouest,avenue Gitega,BP 6899 Bujumbura",22205754
