id_tableau,titre_tableau,source,pays,ville,adresse,email,telephone,fax
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Etat d'Israel,Addis Abeba,"Yeka sub City, Kebele 22 H N°283",Ambassador@addisababamfa.gov.il,(251-11)6460999 / 461953,2 511 164 611 961
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Burkina Faso,Addis Abeba,Bole sub city kebele 03 H n°138,ambafet@ethionet.et,25111615857/1615855,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,"République 
de Sierra 
Léone",Addis Abeba,"Nisaaf silk Lotto Sub City, Kibele 05, 
House n°2629",salonembadd@yahoo.co.uk,25111710033,251 113 711 911
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,"République 
du Sénégal",Addis Abeba,Bole sub city kebele 03 H n°2161,ambassene-addis@ethionet.et,251116611376,251 116 610 020
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,"La 
République 
Tcheque",Addis Abeba,"Kirkos sub city, Kebele 152, House n°289",addis abeba@embassy.mzv.cz,251115516132 / 282,251 115 513 471
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Espagne,Kampala,"Plot10,lourder RD, Nakasero",consolare.kampala@esteri.it,25641/4250442,414 250 448
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,"République 
du Soudan",Kampala,"Plot21, Nakasero Road",ambasudanikampala.co.ug,256312261358/ 414230001,256 414 346 573
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Ethiopie,Kampala,"Plot 3, Kitante closeoff kira Road",ethiokam@uttoline.co.ug,256414341885,256 414 348 340
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Turquie,Kampala,"Plot 9, Elgon Terrace Rd, Kololo",embassy .kampala@mfa.gov.tr,256414500182,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,"Royaume de 
Danemark",Kampala,Plot 3 Lumumba avenue,ambkampala@um.dk,256312263211,256 312 264 624
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,"République 
de Cuba",Kampala,"Plot 10 K.A.R Drive, lower kololo terrace",ecuba@africaonline.co.ug,256414233742,256 414 233 742
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Inde,Kampala,"Plot 11, kyondondo, Nakasero",Hoc.kampala@mea.gov.in,2564142257368,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Iran,Kampala,8 Kololo Hill lane,"",256 414 505 886,256 414 505 886
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Italie,Kampala,11 LoureRoad Nakasero,"",256 312 188 000,256 414 250 450
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Coree du Nord,Kampala,Kampala,dprkemb70@gmail.com,256414343424,256 414 343 424
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Norvege,Kampala,"18Akii Bua Road, Nakasero",emb.kampala@mfa.no,256417112000,256 417 112 000
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,"Soudan du 
Sud",Kampala,"2Sewibwa, Road, Nakasero",embassyrss.kampala@gmail.com,256414230272,256 776 988 989
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,"Ambassade 
de Suede",Kigali,Aurore building Kacyiru 1st floor,ambassaden.kigali@foreign.ministry.se,"",250252597400/250252597459
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,"Ambassade 
Corée du Sud",Kigali,Kigali,Koremb-rwanda@hotmail,"",250 252 577 577
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Japon,Kigali,Kigali,Rw.emb-japon@kq.mofa.go.jp,"",25025200884
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,"République 
du Congo",Kigali,Kigali,ambacokigali@gmail.com,"",250 733 073 578
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Maroc,Kigali,Kigali,Ejkim88@mofa.go.kr,"",250 736 000 097
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,"Ambassade 
du Canada",Nairobi,"LimuruRoad, Gigiri, Nairobi ok",nrobi@international.gc.ca,00 254(20)366-3000,00 254(20)366-3000
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,"Ambassade 
du Bostwana",Nairobi,"Gigiri Drive, LR/Bloc n°91/238 Gigiri","",00 254 207 123 412,""
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,"Ambassade 
de l'Australie",Nairobi,"RiversideDrive,400M offChiromo Road","","", 00 254204277100
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,"Ambassade 
de Serbie",Nairobi,"","","","00 254202710076/00 254 
202714016"
21.04,Missions Diplomatiques accréditées à Bujumbura et résidant dans les pays tiers en 2017,Ministère des Relations Exterieures et de la Coopération Internationale,Argentine,Nairobi,Kitisiru Road/Tate Close3.3E,mail@embargentinakenya.org,254 204 183 119,""
