id_tableau,titre_tableau,source,categorie,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3.13,Evolution mensuelle des précipitations par station météorologique de Musasa (en mm),IGEBU,Janvier,169,157,"105,5","119,3","122,4","118,1","56,2","198,6",107,"175,3","271,7","120,4","123,8"
3.13,Evolution mensuelle des précipitations par station météorologique de Musasa (en mm),IGEBU,Février,"66,6",183,"160,9","87,5","241,3","121,6","113,7","241,9",149,"121,6","150,3","186,8","117,5"
3.13,Evolution mensuelle des précipitations par station météorologique de Musasa (en mm),IGEBU,Mars,123,119,"174,9","179,3","169,1","155,3","101,1","247,5","224,3","267,8","71,5","152,5",126
3.13,Evolution mensuelle des précipitations par station météorologique de Musasa (en mm),IGEBU,Avril,129,226,"120,5","161,8",112,"99,8","","262,9","131,6","167,2","118,9",262,379
3.13,Evolution mensuelle des précipitations par station météorologique de Musasa (en mm),IGEBU,Mai,145,"40,5","5,1","128,7","61,3","28,8","79,2","45,8","25,6","80,8","19,4",93,-
3.13,Evolution mensuelle des précipitations par station météorologique de Musasa (en mm),IGEBU,Juin,"1,1","44,8",46,25,"9,6",3,"16,5",0,16,0,0,0,-
3.13,Evolution mensuelle des précipitations par station météorologique de Musasa (en mm),IGEBU,Juillet,0,"5,6",0,0,0,0,0,0,0,0,0,0,0
3.13,Evolution mensuelle des précipitations par station météorologique de Musasa (en mm),IGEBU,Août,"52,6","3,7",0,0,0,0,"",0,"13,7",0,0,"35,6",27
3.13,Evolution mensuelle des précipitations par station météorologique de Musasa (en mm),IGEBU,Septembre,44,"5,5","67,7","5,8","19,5",178,"15,3",0,"64,9","36,5","22,9","8,7","14,1"
3.13,Evolution mensuelle des précipitations par station météorologique de Musasa (en mm),IGEBU,Octobre,"68,9","21,1","44,2","46,5",45,"33,1",112,"93,9","111,7","56,6","53,6","124,7","63,4"
3.13,Evolution mensuelle des précipitations par station météorologique de Musasa (en mm),IGEBU,Novembre,"32,4",100,"135,4","219,8",213,"190,2","83,2","130,8","81,1","173,7","151,7","147,7","147,9"
3.13,Evolution mensuelle des précipitations par station météorologique de Musasa (en mm),IGEBU,Décembre,185,109,"116,2","117,6","170,7",169,"237,9",240,"215,2","205,2","119,7","142,7","179,1"
3.13,Evolution mensuelle des précipitations par station météorologique de Musasa (en mm),IGEBU,Moyenne annuelle,"109,0","84,6","81,3","91,0","97,0","78,0","67,9","121,8","95,0","100,8","81,6","106,2","117,8"
