id_tableau,titre_tableau,source,categorie,sous_categorie,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3.21,Superficie des espaces naturels protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Monuments naturels ,"",742,742,742,742,742,742,742,742,742,742,742,742,742
3.21,Superficie des espaces naturels protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Monuments naturels ,Chute de la Karera,142,142,142,142,142,"141,85","141,85","141,85","141,85",142,142,142,142
3.21,Superficie des espaces naturels protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Monuments naturels ,Faille de Nyakazu,600,600,600,600,600,600,600,600,600,600,600,600,600
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Réseve naturelle forêstière du Burundi,"",17 400,17 400,17 400,17 400,17 400,17 400,17 400,17 400,17 400,17 400,17 400,17 400,17 400
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Réseve naturelle forêstière de Bururi,"",3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Réseve naturelle forêstière de Bururi,        Réserve naturelle de Kigwena,500,500,500,500,500,800,800,800,800,800,800,800,800
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Réseve naturelle forêstière de Bururi,        Réserve naturelle de Rumonge,600,600,600,600,600,600,600,600,600,600,600,600,600
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Réseve naturelle forêstière de Bururi,        Réserve naturelle de Vyanda,4 500,4 500,4 500,4 500,4 500,4 500,4 500,4 500,4 500,4 500,4 500,4 500,4 500
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Réseve naturelle forêstière de Bururi,        Réserve naturelle de Monge,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Réseve naturelle forêstière de Bururi,        Réserve naturelle gérée du Lac Rwihin,425,16 100,16 100,16 100,16 100,16 100,16 100,16 100,16 100,16 100,16 100,16 100,16 100
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Réseve naturelle forêstière de Bururi,        Réserve naturelle Forestière de Mureh,3 075,3 075,3 075,3 075,3 075,3 075,3 075,3 075,3 075,3 075,3 075,3 075,3 075
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Paysages protégé du Burundi,"",24 126,24 126,24 126,24 126,24 126,24 126,24 126,24 126,24 126,24 126,24 126,24 126,24 126
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Paysage protégé de Makamba,"",9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000,9 000
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Paysage protégé de Makamba,        Paysage protégé de Kinoso,500,500,500,500,500,500,500,500,500,500,500,500,500
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Paysage protégé de Makamba,        Paysage Protégé de Mabanda/Nyanza,3 500,3 500,3 500,3 500,3 500,3 500,3 500,3 500,3 500,3 500,3 500,3 500,3 500
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Paysage protégé de Makamba,        Paysage Protégé de Mukungu/Rukam,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000,5 000
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Paysage protégé de Gisagara,"",6 126,6 126,6 126,6 126,6 126,6 126,6 126,6 126,6 126,6 126,6 126,6 126,6 126
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Parcs nationaux,"",101 573,101 573,101 573,101 573,101 573,101 573,101 573,101 573,101 573,101 573,101 573,101 573,101 573
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Parcs nationaux,        Parc national de la Ruvubu,50 900,50 900,50 900,50 900,50 900,50 900,50 900,50 900,50 900,50 900,50 900,50 900,50 900
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Parcs nationaux,        Parc national de Rusizi,10 673,10 673,10 673,10 673,10 673,10 673,10 673,10 673,10 673,10 673,10 673,10 673,10 673
3.21,Superficie des espaces naturels  protégées en ha,Institut National de l'Environnement et de la Conservation de la Nature (INECN),Parcs nationaux,        Parc national de la Kibira,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000,40 000
