id_tableau,titre_tableau,source,categorie,sous-categorie,2010,2011,2012,2013,2014,2015,2016,2017,2018
4.03,Evolution des infrastructures sanitaires.,MSPLS/Annuaire des statistiques sanitaires.,Nombre d'hôpitaux,"",63,64,68,69,73,73,90,93,68
4.03,Evolution des infrastructures sanitaires.,MSPLS/Annuaire des statistiques sanitaires.,Nombre d'hôpitaux,Hôpitaux publics,41,41,43,44,44,45,44,44,45
4.03,Evolution des infrastructures sanitaires.,MSPLS/Annuaire des statistiques sanitaires.,Nombre d'hôpitaux,Hôpitaux privés,22,23,25,25,20,18,31,31,9
4.03,Evolution des infrastructures sanitaires.,MSPLS/Annuaire des statistiques sanitaires.,Nombre d'hôpitaux,Hôpitaux agréés(confessionnels et associatifs),"","","","",9,10,15,18,14
4.03,Evolution des infrastructures sanitaires.,MSPLS/Annuaire des statistiques sanitaires.,Nombre de Districts sanitaires,"",45,45,45,45,45,46,46,46,46
4.03,Evolution des infrastructures sanitaires.,MSPLS/Annuaire des statistiques sanitaires.,Nombre de centres de santé,"",735,806,851,897,953,1017,1057,1080,1120
4.03,Evolution des infrastructures sanitaires.,MSPLS/Annuaire des statistiques sanitaires.,Nombre de centres de santé,Centres de santé publics,423,462,506,524,546,566,578,587,614
4.03,Evolution des infrastructures sanitaires.,MSPLS/Annuaire des statistiques sanitaires.,Nombre de centres de santé,Centres de santé privés,312,344,345,373,276,312,326,330,325
4.03,Evolution des infrastructures sanitaires.,MSPLS/Annuaire des statistiques sanitaires.,Nombre de centres de santé,Centres de santé agréés(confessionnels et associatifs),"","","","",131,139,153,163,181
4.03,Evolution des infrastructures sanitaires.,MSPLS/Annuaire des statistiques sanitaires.,Nombre de lits d'hôpital,"","","",9960,7420,7412,"","","",""
4.03,Evolution des infrastructures sanitaires.,MSPLS/Annuaire des statistiques sanitaires.,Nombre de maternités,"",592,592,"","","","","","",""
