id_tableau,titre_tableau,source,categorie,2009,2010,2011,2012,2013,2014,2015,2016
4.05,Effectifs des professionels de santé.,MSPLS/Annuaire des statistiques sanitaires.,Médecins de santé publique,"","","","","","","",6
4.05,Effectifs des professionels de santé.,MSPLS/Annuaire des statistiques sanitaires.,Médecins généralistes,317,317,343,393,476,418,"",515
4.05,Effectifs des professionels de santé.,MSPLS/Annuaire des statistiques sanitaires.,Médecins spécialistes,40,40,75,44,68,21,"",21
4.05,Effectifs des professionels de santé.,MSPLS/Annuaire des statistiques sanitaires.,Infirmiers A2,"","","","","",2153,"",2671
4.05,Effectifs des professionels de santé.,MSPLS/Annuaire des statistiques sanitaires.,Infirmiers auxilliaires A3,"","","","","",3442,"",3665
4.05,Effectifs des professionels de santé.,MSPLS/Annuaire des statistiques sanitaires.,Infirmiers licenciés,"","","","","",425,"",502
4.05,Effectifs des professionels de santé.,MSPLS/Annuaire des statistiques sanitaires.,Infirmiers maîtrises,"","","","","","","",9
4.05,Effectifs des professionels de santé.,MSPLS/Annuaire des statistiques sanitaires.,Sages-femmes,"","","","","",47,"",67
4.05,Effectifs des professionels de santé.,MSPLS/Annuaire des statistiques sanitaires.,Autres paramédicaux,"","","","","",344,"",1110
4.05,Effectifs des professionels de santé.,MSPLS/Annuaire des statistiques sanitaires.,Anestésistes,"","","","","","","",83
