id_tableau,titre_tableau,source,sexe,Tranche d'âge,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
5.05,Répartition des travailleurs actifs par âge et sexe,nstitut National de la Sécurité Sociale (INSS),Les deux sexes,"",850 491,154 850,158 560,159 195,163 641,170 294,172 033,173 998,179 842,187 925
5.05,Répartition des travailleurs actifs par âge et sexe,nstitut National de la Sécurité Sociale (INSS),Les deux sexes,15 à 19 ans,30,30,52,52,49,62,62,63,65,68
5.05,Répartition des travailleurs actifs par âge et sexe,nstitut National de la Sécurité Sociale (INSS),Les deux sexes,20 à 24 ans,1 102,1 202,1 773,1 780,1 978,2 191,2 207,2 232,2 307,2 411
5.05,Répartition des travailleurs actifs par âge et sexe,nstitut National de la Sécurité Sociale (INSS),Les deux sexes,25 à 29 ans,22 035,20 035,16 531,16 597,12 107,11 676,11 764,11 898,12 297,12 849
5.05,Répartition des travailleurs actifs par âge et sexe,nstitut National de la Sécurité Sociale (INSS),Les deux sexes,30 à 34 ans,40 624,44 234,42 857,43 029,35 999,32 840,33 057,33 435,34 558,36 111
5.05,Répartition des travailleurs actifs par âge et sexe,nstitut National de la Sécurité Sociale (INSS),Les deux sexes,35 à 39 ans,31 668,31 619,35 343,35 483,42 848,45 548,45 893,46 418,47 978,50 135
5.05,Répartition des travailleurs actifs par âge et sexe,nstitut National de la Sécurité Sociale (INSS),Les deux sexes,40 à 44 ans,15 264,18 062,18 920,18 996,24 013,27 947,28 158,28 480,29 437,30 760
5.05,Répartition des travailleurs actifs par âge et sexe,nstitut National de la Sécurité Sociale (INSS),Les deux sexes,45 à 49 ans,13 314,13 314,13 656,13 711,14 765,16 316,16 439,16 626,17 184,17 956
5.05,Répartition des travailleurs actifs par âge et sexe,nstitut National de la Sécurité Sociale (INSS),Les deux sexes,50 à 54 ans,10 132,10 132,11 511,11 557,12 554,13 005,13 103,13 253,13 698,14 314
5.05,Répartition des travailleurs actifs par âge et sexe,nstitut National de la Sécurité Sociale (INSS),Les deux sexes,55 à 59 ans,6 566,6 566,7 099,7 127,8 281,9 475,9 546,9 655,9 979,10 428
