id_tableau,titre_tableau,source,Tranches salariales en FBU,2012,2013,2014,2015,2016,2017,2018
5.17,Répartition des assurés par traitement d'activivé à l'ONPR ( salaire de base),Office National des Pensions et Risques(ONPR),Inférieur à 64 568,55 874,57 764,15 143,11 873,12 422,12 056,12 135
5.17,Répartition des assurés par traitement d'activivé à l'ONPR ( salaire de base),Office National des Pensions et Risques(ONPR),64 722 à 66 108,9 970,11 215,22 353,22 930,23 166,22 730,22 966
5.17,Répartition des assurés par traitement d'activivé à l'ONPR ( salaire de base),Office National des Pensions et Risques(ONPR),66 263 à 76 895,5 243,7 029,11 314,11 946,11 782,11 085,10 314
5.17,Répartition des assurés par traitement d'activivé à l'ONPR ( salaire de base),Office National des Pensions et Risques(ONPR),77 050 à 94 617,2 058,1 953,12 233,13 446,15 103,16 420,18 310
5.17,Répartition des assurés par traitement d'activivé à l'ONPR ( salaire de base),Office National des Pensions et Risques(ONPR),94 001 à 107 715,3 077,3 384,8 886,7 327,7 036,6 724,6 553
5.17,Répartition des assurés par traitement d'activivé à l'ONPR ( salaire de base),Office National des Pensions et Risques(ONPR),107 870 à 152 404,1 882,2 228,10 705,14 149,14 362,14 409,14 196
5.17,Répartition des assurés par traitement d'activivé à l'ONPR ( salaire de base),Office National des Pensions et Risques(ONPR),152 559 à 164 732,744,920,1 081,1 894,1 967,2 049,2 033
5.17,Répartition des assurés par traitement d'activivé à l'ONPR ( salaire de base),Office National des Pensions et Risques(ONPR),164 887 à 210 192,116,191,3 796,3 993,3 996,3 944,3 763
5.17,Répartition des assurés par traitement d'activivé à l'ONPR ( salaire de base),Office National des Pensions et Risques(ONPR),210 346 et plus,499,492,2 884,4 081,3 931,3 673,3 274
5.17,Répartition des assurés par traitement d'activivé à l'ONPR ( salaire de base),Office National des Pensions et Risques(ONPR),TOTAL,79 463,85 176,88 395,91 639,93 765,93 090,93 544
