id_tableau,titre_tableau,source,Branche d'activité économique,2011,2012,2013,2014,2015,2016,2017,2018
6.02,Répartition des employeurs en activité par branche d'activité économique (au 31 décembre),nstitut National de Sécurité Sociale (INSS),"Agriculture, chasse et Sylviculture(1)",119,137,153,171,184,193,211,230
6.02,Répartition des employeurs en activité par branche d'activité économique (au 31 décembre),nstitut National de Sécurité Sociale (INSS),Industries extractives,8,9,10,12,13,14,15,16
6.02,Répartition des employeurs en activité par branche d'activité économique (au 31 décembre),nstitut National de Sécurité Sociale (INSS),Industries manufacturières,166,191,214,240,258,271,297,326
6.02,Répartition des employeurs en activité par branche d'activité économique (au 31 décembre),nstitut National de Sécurité Sociale (INSS),"Electricité, gaz et eau",35,40,45,50,54,57,62,68
6.02,Répartition des employeurs en activité par branche d'activité économique (au 31 décembre),nstitut National de Sécurité Sociale (INSS),Bâtiment et travaux publics,729,839,938,1054,1133,1192,1305,1444
6.02,Répartition des employeurs en activité par branche d'activité économique (au 31 décembre),nstitut National de Sécurité Sociale (INSS),"Commerce, restaurants et hôtels",1049,1208,1350,1516,1629,1713,1876,2061
6.02,Répartition des employeurs en activité par branche d'activité économique (au 31 décembre),nstitut National de Sécurité Sociale (INSS),"Transport, poste et télécommunication",183,211,236,263,283,297,325,355
6.02,Répartition des employeurs en activité par branche d'activité économique (au 31 décembre),nstitut National de Sécurité Sociale (INSS),Ets financiers et assurances,96,111,124,138,148,155,170,185
6.02,Répartition des employeurs en activité par branche d'activité économique (au 31 décembre),nstitut National de Sécurité Sociale (INSS),Sces fournis à la collectivité & ... (2),1194,1374,1536,1721,1849,1945,2130,2339
6.02,Répartition des employeurs en activité par branche d'activité économique (au 31 décembre),nstitut National de Sécurité Sociale (INSS),Activités mal désignés,730,841,940,1054,1133,1191,1305,1435
6.02,Répartition des employeurs en activité par branche d'activité économique (au 31 décembre),nstitut National de Sécurité Sociale (INSS),Total,4309,4961,5546,6219,6683,7028,7696,8459
