id_tableau,titre_tableau,source,Effectifs des travailleurs,2011,2012,2013,2014,2015,2016,2017,2018
6.04,Répartition des entreprises selon le nombre de travailleurs actifs (au  31 décembre),Institut National de Sécurité Sociale (INSS),1 à 25,3 826,4 413,4 940,5 547,5 960,6 272,6 874,7 555
6.04,Répartition des entreprises selon le nombre de travailleurs actifs (au  31 décembre),Institut National de Sécurité Sociale (INSS),26 à 50,219,253,283,317,342,360,395,434
6.04,Répartition des entreprises selon le nombre de travailleurs actifs (au  31 décembre),Institut National de Sécurité Sociale (INSS),51 à 75,90,104,116,131,142,148,162,187
6.04,Répartition des entreprises selon le nombre de travailleurs actifs (au  31 décembre),Institut National de Sécurité Sociale (INSS),76 à 100,45,50,55,60,64,67,72,78
6.04,Répartition des entreprises selon le nombre de travailleurs actifs (au  31 décembre),Institut National de Sécurité Sociale (INSS),101 à 125,28,32,36,40,44,45,49,53
6.04,Répartition des entreprises selon le nombre de travailleurs actifs (au  31 décembre),Institut National de Sécurité Sociale (INSS),126 à 150,14,15,16,17,18,19,20,21
6.04,Répartition des entreprises selon le nombre de travailleurs actifs (au  31 décembre),Institut National de Sécurité Sociale (INSS),151 à 175,14,16,18,20,22,23,25,27
6.04,Répartition des entreprises selon le nombre de travailleurs actifs (au  31 décembre),Institut National de Sécurité Sociale (INSS),176 à 200,18,19,20,21,22,23,24,25
6.04,Répartition des entreprises selon le nombre de travailleurs actifs (au  31 décembre),Institut National de Sécurité Sociale (INSS),201 à 250,15,17,18,20,21,22,24,26
6.04,Répartition des entreprises selon le nombre de travailleurs actifs (au  31 décembre),Institut National de Sécurité Sociale (INSS),251 à 300,8,8,8,8,9,9,9,9
6.04,Répartition des entreprises selon le nombre de travailleurs actifs (au  31 décembre),Institut National de Sécurité Sociale (INSS),301 à 400,6,6,6,6,6,6,6,6
6.04,Répartition des entreprises selon le nombre de travailleurs actifs (au  31 décembre),Institut National de Sécurité Sociale (INSS),401 à 500,5,5,5,5,5,5,5,5
6.04,Répartition des entreprises selon le nombre de travailleurs actifs (au  31 décembre),Institut National de Sécurité Sociale (INSS),500 et plus,21,23,25,27,28,29,31,33
6.04,Répartition des entreprises selon le nombre de travailleurs actifs (au  31 décembre),Institut National de Sécurité Sociale (INSS),Total,4 309,4 961,5 546,6 219,6 683,7 028,7 696,8 459
