id_tableau,titre_tableau,source,Personel,2012,2013,2014,2015,2016,2017,2018
6.06,Revenu salarial par institution étatique (mio FBU), Ministère des Finances,Présidence de la République,"6 207 237,8","6 203 269,7","5 609 342,9","5 732 548,5","5 928 092,5","5 732 548,5",6 320 436
6.06,Revenu salarial par institution étatique (mio FBU), Ministère des Finances,Première Vice-Présidence,"96 865,4","128 515,5","124 990,0","131 644,0","131 644,1","131 644,1",354 371
6.06,Revenu salarial par institution étatique (mio FBU), Ministère des Finances,Deuxième Vice Présidence,"113 194,1","144 890,6","145 003,0","150 485,0","150 485,5","156 315,8",381 185
6.06,Revenu salarial par institution étatique (mio FBU), Ministère des Finances,Assemblée Nationale,"4 521 770,6","3 418 492,6","3 527 054,4","5 258 829,0","3 917 528,9","3 917 528,9",4 262 329
6.06,Revenu salarial par institution étatique (mio FBU), Ministère des Finances,Sénat,-,"2 183 198,5","2 247 898,2","2 971 825,0","2 421 274,9","2 421 274,9",2 649 466
6.06,Revenu salarial par institution étatique (mio FBU), Ministère des Finances,Cour de Comptes,-,"773 830,2","784 488,7","796 858,0","796 857,7","893 457,7",1 289 581
6.06,Revenu salarial par institution étatique (mio FBU), Ministère des Finances,Secretariat Général du Gouvernement,-,"27 461,8","27 522,3","27 342,0","30 742,4","37 659,5",99 152
6.06,Revenu salarial par institution étatique (mio FBU), Ministère des Finances,Ministère de l'intérieur et de la formation patriotique,"861 771,1","949 625,9","1 009 504,9","1 686 337,0","1 148 231,8","1 382 208,2",1 952 575
6.06,Revenu salarial par institution étatique (mio FBU), Ministère des Finances,"Ministère des Finances, du Budget et de la Coopération au développement économique","1 837 903,334","2 607 347,3","3 604 334,3","4 303 914,0","4 374 886,6","5 490 059,6",1 677 604
6.06,Revenu salarial par institution étatique (mio FBU), Ministère des Finances,Ministère à la Présidence Chargée de la Bonne Gouvernance,"365 642,6","375 150,1","400 241,6","419 828,0","488 950,7","503 006,7",463 751
