id_tableau,titre_tableau,source,categorie,cadre,sous-categorie,2012,2013,2014,2015,2016,2017,2018
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie de Direction,Cadres Supérieurs,C1: Conseiller de 1 ère classe,1 365,1 528,1 725,1 775,1 821,1 966,2 265
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie de Direction,Cadres Supérieurs,C2: Conseiller de 2 ème classe,2 224,3 062,3 966,4 184,5 443,6 566,8 278
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie de Direction,Cadres Supérieurs,C3: Conseiller de 3 ème classe,977,987,986,1 288,1 351,1 339,1 330
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie de Direction,Cadres Supérieurs,C4: Conseiller de 4 ème classe,578,576,574,722,710,699,675
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie de Direction,Cadres Supérieurs,C5: Conseiller de 5 ème classe,255,258,252,350,341,335,326
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie de Direction,Cadres Supérieurs,C6: Conseiller de 6 ème classe,129,129,129,167,169,160,154
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie de Direction,Cadres Supérieurs,C7: Conseiller de 7 ème classe,78,75,71,95,93,81,77
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie de Direction,Cadres Supérieurs,C8: Conseiller de 8 ème classe,30,23,19,49,39,31,3
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie de Direction,Cadres Supérieurs,C9: Conseiller de 9 ème classe,1,-,-,1,1,-,-
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres Moyens,A1: Assistant de 1ère classe,2 314,2 789,3 234,2 878,2 970,3 048,3 254
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres Moyens,A2:Assistant de 2ème classe,35 000,38 917,40 079,38 654,37 913,34 543,32 441
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres Moyens,A3:Assistantde 3ème classe,13 272,13 444,13 785,11 925,13 934,16 025,17 042
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres Moyens,A4:Conseiller de 4ème classe,8 033,7 993,7 921,10 158,9 903,9 606,9 358
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres Moyens,A5:Conseiller de 5ème classe,3 036,3 062,3 132,5 685,5 627,5 527,5 456
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres Moyens,A6:Conseiller de 6ème classe,2 147,2 019,2 103,2 665,2 651,2 607,2 573
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres Moyens,A7:Conseiller de 7ème classe,1 096,1 076,1 074,1 586,1 547,1 511,1 488
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres Moyens,A8:Conseiller de 8ème classe,779,744,707,845,795,755,701
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres Moyens,A9:Conseiller de 9ème classe,277,239,174,368,289,221,137
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres d'execution,E1: Employé de 1ére classe,2 226,2 798,3 051,1 688,1 625,1 596,1 574
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres d'execution,E2: Employé de 2ème classe,1 085,1 236,1 334,2 185,2 185,2 180,2 163
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres d'execution,E3: Employé de3ème classe,715,769,817,859,839,820,808
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres d'execution,E4: Employé de 4ème classe,702,553,484,597,581,578,565
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres d'execution,E5: Employé de 5ème classe,333,535,512,591,563,528,507
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres d'execution,E6: Employé de 6ème classe,82,86,88,209,197,189,178
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres d'execution,E7: Employé de 7ème classe,34,33,31,41,41,35,34
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres d'execution,E8: Employé de 8ème classe,27,23,24,24,20,18,13
6.08,Répartition du personnel sous-statuts par Grade,"",Catégorie des Cadres moyens ou de collaboration,Cadres d'execution,E9: Employé de 9ème classe,14,19,9,18,15,13,7
6.08,Répartition du personnel sous-statuts par Grade,"",Cadres Magistrats,Cadres Magistrats,G1: Hors catégories,42,60,64,61,75,68,66
6.08,Répartition du personnel sous-statuts par Grade,"",Cadres Magistrats,Cadres Magistrats,G2: Président de la cour suprème/Procureur Général de la République de,2,14,13,13,11,8,7
6.08,Répartition du personnel sous-statuts par Grade,"",Cadres Magistrats,Cadres Magistrats,G3: Vice Président de la cour suprême/ 1er substiut Général,3,24,30,26,20,16,15
6.08,Répartition du personnel sous-statuts par Grade,"",Cadres Magistrats,Cadres Magistrats,G4: Conseiller à la cour suprême/ substitut Général,1,12,14,25,22,29,28
6.08,Répartition du personnel sous-statuts par Grade,"",Cadres Magistrats,Cadres Magistrats,G5: Président de la cour d'appel/ Procureur Général,1,20,19,22,21,18,20
6.08,Répartition du personnel sous-statuts par Grade,"",Cadres Magistrats,Cadres Magistrats,G6: Vice président de la cour d'appel/ substitut Général,2,27,28,29,25,28,29
